oktmo,name,year,harvest
1630000,Павловский муниципальный район,2011,45336.78
1630000,Павловский муниципальный район,2012,42357.27
1630000,Павловский муниципальный район,2013,41776.2
1630000,Павловский муниципальный район,2014,37157.27
1630000,Павловский муниципальный район,2015,38154.63
1630000,Павловский муниципальный район,2016,42863.85
1630000,Павловский муниципальный район,2017,35270.36
1630000,Павловский муниципальный район,2018,33559.7
1630000,Павловский муниципальный район,2019,39172.51
1630000,Павловский муниципальный район,2020,34976.52
1630000,Павловский муниципальный район,2021,47755.53
1630000,Павловский муниципальный район,2022,45755.43
1631000,Панкрушихинский муниципальный район,2007,15627.07
1631000,Панкрушихинский муниципальный район,2008,16330.9
1631000,Панкрушихинский муниципальный район,2009,14800.94
1631000,Панкрушихинский муниципальный район,2010,14165.65
1631000,Панкрушихинский муниципальный район,2011,10957.49
1631000,Панкрушихинский муниципальный район,2012,9774.91
1631000,Панкрушихинский муниципальный район,2013,9126.25
1631000,Панкрушихинский муниципальный район,2014,7970.32
1631000,Панкрушихинский муниципальный район,2015,7417.48
1631000,Панкрушихинский муниципальный район,2016,7694.43
1631000,Панкрушихинский муниципальный район,2017,7200.0
1631000,Панкрушихинский муниципальный район,2018,7150.4
1631000,Панкрушихинский муниципальный район,2019,7707.1
1631000,Панкрушихинский муниципальный район,2020,6890.45
1631000,Панкрушихинский муниципальный район,2021,7035.75
1631000,Панкрушихинский муниципальный район,2022,6862.75
1632000,Первомайский муниципальный район,2007,216894.99
1632000,Первомайский муниципальный район,2008,231859.77
1632000,Первомайский муниципальный район,2009,204479.19
1632000,Первомайский муниципальный район,2010,197048.21
1632000,Первомайский муниципальный район,2011,249706.79
1632000,Первомайский муниципальный район,2012,177815.32
1632000,Первомайский муниципальный район,2013,168022.88
1632000,Первомайский муниципальный район,2014,149783.8
1632000,Первомайский муниципальный район,2015,154087.39
1632000,Первомайский муниципальный район,2016,300869.06
1632000,Первомайский муниципальный район,2017,237760.66
1632000,Первомайский муниципальный район,2018,202329.2
1632000,Первомайский муниципальный район,2019,196325.91
1632000,Первомайский муниципальный район,2020,207683.43
1632000,Первомайский муниципальный район,2021,161544.72
1632000,Первомайский муниципальный район,2022,165997.84
1633000,Петропавловский муниципальный район,2007,13109.71
1633000,Петропавловский муниципальный район,2008,13707.66
1633000,Петропавловский муниципальный район,2009,13822.84
1633000,Петропавловский муниципальный район,2010,13753.24
1633000,Петропавловский муниципальный район,2011,12326.48
1633000,Петропавловский муниципальный район,2012,12486.07
1633000,Петропавловский муниципальный район,2013,12355.45
1633000,Петропавловский муниципальный район,2014,11280.68
1633000,Петропавловский муниципальный район,2015,10971.53
1633000,Петропавловский муниципальный район,2016,11596.1
1633000,Петропавловский муниципальный район,2017,11664.72
1633000,Петропавловский муниципальный район,2018,11505.3
1633000,Петропавловский муниципальный район,2019,12295.63
1633000,Петропавловский муниципальный район,2020,10915.66
1633000,Петропавловский муниципальный район,2021,11919.75
1633000,Петропавловский муниципальный район,2022,11620.23
1634000,Поспелихинский муниципальный район,2007,25106.37
1634000,Поспелихинский муниципальный район,2008,22053.15
1634000,Поспелихинский муниципальный район,2009,27262.35
1634000,Поспелихинский муниципальный район,2010,20197.41
1634000,Поспелихинский муниципальный район,2011,16266.72
1634000,Поспелихинский муниципальный район,2012,15221.54
1634000,Поспелихинский муниципальный район,2013,13385.16
1634000,Поспелихинский муниципальный район,2014,11211.45
1634000,Поспелихинский муниципальный район,2015,9679.11
1634000,Поспелихинский муниципальный район,2016,10750.49
1634000,Поспелихинский муниципальный район,2017,9596.79
1634000,Поспелихинский муниципальный район,2018,8570.5
1634000,Поспелихинский муниципальный район,2019,9124.8
1634000,Поспелихинский муниципальный район,2020,7645.85
