oktmo,name,year,naturesecure
01636000,Родинский муниципальный район,2008,0.0
01636000,Родинский муниципальный район,2009,0.0
01636000,Родинский муниципальный район,2010,5.0
01636000,Родинский муниципальный район,2013,0.0
01636000,Родинский муниципальный район,2014,94.0
01637000,Романовский муниципальный район,2008,0.0
01637000,Романовский муниципальный район,2009,0.0
01637000,Романовский муниципальный район,2010,0.0
01637000,Романовский муниципальный район,2013,252.0
01637000,Романовский муниципальный район,2014,67.0
01637000,Романовский муниципальный район,2016,304.0
01637000,Романовский муниципальный район,2022,746.0
01638000,Рубцовский муниципальный район,2008,633.0
01638000,Рубцовский муниципальный район,2009,1977.5
01638000,Рубцовский муниципальный район,2010,2276.8
01638000,Рубцовский муниципальный район,2011,4336.9
01638000,Рубцовский муниципальный район,2012,3216.0
01638000,Рубцовский муниципальный район,2013,2836.0
01638000,Рубцовский муниципальный район,2014,2708.0
01638000,Рубцовский муниципальный район,2016,3776.0
01638000,Рубцовский муниципальный район,2018,5915.0
01638000,Рубцовский муниципальный район,2019,3888.0
01638000,Рубцовский муниципальный район,2020,3929.0
01638000,Рубцовский муниципальный район,2021,14900.0
01638000,Рубцовский муниципальный район,2022,16162.0
01639000,Славгородский муниципальный район,2008,0.0
01639000,Славгородский муниципальный район,2009,0.0
01639000,Славгородский муниципальный район,2011,37.5
01640000,Смоленский муниципальный район,2008,360.0
01640000,Смоленский муниципальный район,2009,294.6
01640000,Смоленский муниципальный район,2010,190.8
01640000,Смоленский муниципальный район,2012,24.0
01640000,Смоленский муниципальный район,2013,24.0
01640000,Смоленский муниципальный район,2014,301.0
01641000,Суетский муниципальный район,2008,46.0
01641000,Суетский муниципальный район,2009,117.9
01641000,Суетский муниципальный район,2010,27.7
01641000,Суетский муниципальный район,2011,40.7
01641000,Суетский муниципальный район,2012,19.0
01641000,Суетский муниципальный район,2013,17.0
01641000,Суетский муниципальный район,2014,19.0
01642000,Советский муниципальный район,2008,781.1
01642000,Советский муниципальный район,2009,529.2
01642000,Советский муниципальный район,2010,802.6
01642000,Советский муниципальный район,2011,3292.4
01642000,Советский муниципальный район,2012,1255.0
01642000,Советский муниципальный район,2013,282.0
01642000,Советский муниципальный район,2014,549.0
01642000,Советский муниципальный район,2018,644.0
