oktmo,name,year,consnewapt
oktmo,municipality,year,indicator_value
01706000,город Заринск,2008,1.17
01706000,город Заринск,2009,1.154
01706000,город Заринск,2010,0.701
01706000,город Заринск,2011,0.787
01707000,город Змеиногорск,2008,1.98
01710000,город Камень-на-Оби,2008,2.56
01710000,город Камень-на-Оби,2009,1.538
01710000,город Камень-на-Оби,2010,1.431
01710000,город Камень-на-Оби,2011,1.084
01713000,город Новоалтайск,2008,4.01
01713000,город Новоалтайск,2009,8.648
01713000,город Новоалтайск,2010,1.932
01713000,город Новоалтайск,2011,8.452
01716000,город Рубцовск,2008,0.64
01716000,город Рубцовск,2009,1.228
01716000,город Рубцовск,2010,1.393
01716000,город Рубцовск,2011,0.907
01719000,город Славгород,2008,0.64
01719000,город Славгород,2009,0.813
01719000,город Славгород,2010,1.385
01719000,город Славгород,2011,1.869
01730000,город Яровое,2008,0.49
01730000,город Яровое,2009,0.481
01730000,город Яровое,2010,0.858
01730000,город Яровое,2011,0.922
03601000,Абинский муниципальный район,2008,4.3
03601000,Абинский муниципальный район,2009,5.0
03601000,Абинский муниципальный район,2010,6.0
03601000,Абинский муниципальный район,2011,5.0
03605000,Апшеронский муниципальный район,2008,3.2
03605000,Апшеронский муниципальный район,2009,3.1
03605000,Апшеронский муниципальный район,2010,4.3
03605000,Апшеронский муниципальный район,2011,3.9
03607000,Белоглинский муниципальный район,2008,5.0
03607000,Белоглинский муниципальный район,2009,5.3
03607000,Белоглинский муниципальный район,2010,6.8
03607000,Белоглинский муниципальный район,2011,6.8
03608000,Белореченский муниципальный район,2008,5.5
03608000,Белореченский муниципальный район,2009,6.4
03608000,Белореченский муниципальный район,2010,3.7
03608000,Белореченский муниципальный район,2011,4.9
03610000,Брюховецкий муниципальный район,2008,2.8
03610000,Брюховецкий муниципальный район,2009,2.6
03610000,Брюховецкий муниципальный район,2010,3.5
03610000,Брюховецкий муниципальный район,2011,2.1
03612000,Выселковский муниципальный район,2008,4.1
03612000,Выселковский муниципальный район,2009,2.8
03612000,Выселковский муниципальный район,2010,4.5
03612000,Выселковский муниципальный район,2011,3.7
03613000,Гулькевичский муниципальный район,2008,2.9
03613000,Гулькевичский муниципальный район,2009,2.4
03613000,Гулькевичский муниципальный район,2010,4.8
03613000,Гулькевичский муниципальный район,2011,3.8
03614000,Динской муниципальный район,2008,9.9
03614000,Динской муниципальный район,2009,14.8
03614000,Динской муниципальный район,2010,6.0
03614000,Динской муниципальный район,2011,7.7
03616000,Ейский муниципальный район,2008,7.4
03616000,Ейский муниципальный район,2009,5.7
03616000,Ейский муниципальный район,2010,6.3
03616000,Ейский муниципальный район,2011,5.0
03618000,Кавказский муниципальный район,2008,2.3
03618000,Кавказский муниципальный район,2009,2.5
03618000,Кавказский муниципальный район,2010,2.4
03618000,Кавказский муниципальный район,2011,2.0
03619000,Калининский муниципальный район,2008,2.5
03619000,Калининский муниципальный район,2009,2.4
03619000,Калининский муниципальный район,2010,2.3
03619000,Калининский муниципальный район,2011,1.5
03620000,Каневской муниципальный район,2008,4.2
03620000,Каневской муниципальный район,2009,4.0
03620000,Каневской муниципальный район,2010,3.9
03620000,Каневской муниципальный район,2011,4.6
03621000,Кореновский муниципальный район,2008,4.9
03621000,Кореновский муниципальный район,2009,3.3
03621000,Кореновский муниципальный район,2010,3.7
