oktmo,name,year,retailturnover
1652000,Тюменцевский муниципальный район,2015,177469.2
1652000,Тюменцевский муниципальный район,2016,208208.1
1653000,Угловский муниципальный район,2009,5479.0
1653000,Угловский муниципальный район,2010,5747.0
1653000,Угловский муниципальный район,2011,5377.0
1653000,Угловский муниципальный район,2012,50259.6
1654000,Усть-Калманский муниципальный район,2009,76475.0
1654000,Усть-Калманский муниципальный район,2010,97454.0
1654000,Усть-Калманский муниципальный район,2011,41696.0
1654000,Усть-Калманский муниципальный район,2012,73388.0
1654000,Усть-Калманский муниципальный район,2013,131620.0
1654000,Усть-Калманский муниципальный район,2014,150795.0
1654000,Усть-Калманский муниципальный район,2015,175292.0
1654000,Усть-Калманский муниципальный район,2016,177299.0
1655000,Усть-Пристанский муниципальный район,2009,19790.0
1655000,Усть-Пристанский муниципальный район,2010,39583.0
1655000,Усть-Пристанский муниципальный район,2011,56422.0
1655000,Усть-Пристанский муниципальный район,2012,62262.0
1655000,Усть-Пристанский муниципальный район,2014,102510.0
1655000,Усть-Пристанский муниципальный район,2015,149648.0
1655000,Усть-Пристанский муниципальный район,2016,164469.0
1656000,Хабарский муниципальный район,2009,119879.2
1656000,Хабарский муниципальный район,2010,128188.9
1656000,Хабарский муниципальный район,2011,163335.8
1656000,Хабарский муниципальный район,2012,219854.0
1656000,Хабарский муниципальный район,2013,266232.1
1656000,Хабарский муниципальный район,2014,306457.5
1656000,Хабарский муниципальный район,2015,355976.8
1656000,Хабарский муниципальный район,2016,350945.0
1657000,Целинный муниципальный район,2009,94940.0
1657000,Целинный муниципальный район,2010,129221.8
1657000,Целинный муниципальный район,2011,110305.4
1657000,Целинный муниципальный район,2012,124769.5
1657000,Целинный муниципальный район,2013,149382.0
1657000,Целинный муниципальный район,2014,192482.0
1657000,Целинный муниципальный район,2015,211996.0
1657000,Целинный муниципальный район,2016,249364.0
1658000,Чарышский муниципальный район,2009,52127.0
1658000,Чарышский муниципальный район,2010,47719.0
1658000,Чарышский муниципальный район,2011,7656.0
1658000,Чарышский муниципальный район,2012,8913.0
1658000,Чарышский муниципальный район,2014,114071.0
1658000,Чарышский муниципальный район,2015,140563.0
1659000,Шипуновский муниципальный район,2009,43302.0
1659000,Шипуновский муниципальный район,2010,106780.4
