oktmo,name,year,factoriescap
1647000,Тальменский муниципальный район,2018,2746603.7
1647000,Тальменский муниципальный район,2019,2705321.6
1647000,Тальменский муниципальный район,2020,4482543.2
1647000,Тальменский муниципальный район,2021,5693935.2
1647000,Тальменский муниципальный район,2022,4975222.2
1648000,Тогульский муниципальный район,2017,851918.6
1648000,Тогульский муниципальный район,2018,870262.9
1648000,Тогульский муниципальный район,2019,931895.3
1648000,Тогульский муниципальный район,2020,1092732.6
1648000,Тогульский муниципальный район,2021,1282204.6
1648000,Тогульский муниципальный район,2022,1204267.4
1649000,Топчихинский муниципальный район,2017,2820291.3
1649000,Топчихинский муниципальный район,2018,2749816.7
1649000,Топчихинский муниципальный район,2019,2885394.4
1649000,Топчихинский муниципальный район,2020,3723086.0
1649000,Топчихинский муниципальный район,2021,4786309.3
1649000,Топчихинский муниципальный район,2022,4788875.0
1650000,Третьяковский муниципальный район,2017,1663067.2
1650000,Третьяковский муниципальный район,2018,1874126.2
1650000,Третьяковский муниципальный район,2019,2675842.4
1650000,Третьяковский муниципальный район,2020,2915082.2
1650000,Третьяковский муниципальный район,2021,3117961.9
1650000,Третьяковский муниципальный район,2022,3916153.2
1651000,Троицкий муниципальный район,2017,1958663.5
1651000,Троицкий муниципальный район,2018,1779254.8
1651000,Троицкий муниципальный район,2019,2002246.7
1651000,Троицкий муниципальный район,2020,2301631.4
1651000,Троицкий муниципальный район,2021,3588888.8
1651000,Троицкий муниципальный район,2022,4519901.0
1652000,Тюменцевский муниципальный район,2017,458583.2
1652000,Тюменцевский муниципальный район,2018,480185.8
1652000,Тюменцевский муниципальный район,2019,869637.6
1652000,Тюменцевский муниципальный район,2020,582047.7
1652000,Тюменцевский муниципальный район,2021,1004175.4
1652000,Тюменцевский муниципальный район,2022,1289054.4
1653000,Угловский муниципальный район,2017,439445.2
1653000,Угловский муниципальный район,2018,462374.1
1653000,Угловский муниципальный район,2019,548438.3
1653000,Угловский муниципальный район,2020,583949.6
1653000,Угловский муниципальный район,2021,634903.3
1653000,Угловский муниципальный район,2022,625681.8
