oktmo,name,year,parks
3627000,Курганинский муниципальный район,2013,7.0
3627000,Курганинский муниципальный район,2014,7.0
3627000,Курганинский муниципальный район,2015,7.0
3627000,Курганинский муниципальный район,2016,7.0
3627000,Курганинский муниципальный район,2017,7.0
3627101,Курганинское,2007,1.0
3627101,Курганинское,2008,2.0
3627101,Курганинское,2009,2.0
3627101,Курганинское,2010,2.0
3627101,Курганинское,2011,2.0
3627101,Курганинское,2012,2.0
3627101,Курганинское,2013,2.0
3627101,Курганинское,2014,2.0
3627101,Курганинское,2015,2.0
3627101,Курганинское,2016,2.0
3627101,Курганинское,2017,2.0
3627413,Новоалексеевское,2007,1.0
3627419,Петропавловское,2007,3.0
3627419,Петропавловское,2008,3.0
3627419,Петропавловское,2009,3.0
3627419,Петропавловское,2010,3.0
3627419,Петропавловское,2011,3.0
3627419,Петропавловское,2012,3.0
3627419,Петропавловское,2013,3.0
3627419,Петропавловское,2014,3.0
3627419,Петропавловское,2015,3.0
3627419,Петропавловское,2016,3.0
3627419,Петропавловское,2017,3.0
3627422,Родниковское,2007,1.0
3627422,Родниковское,2008,1.0
3627422,Родниковское,2009,1.0
3627422,Родниковское,2010,1.0
3627422,Родниковское,2011,1.0
3627422,Родниковское,2012,1.0
3627422,Родниковское,2013,1.0
3627422,Родниковское,2014,1.0
3627422,Родниковское,2015,1.0
3627422,Родниковское,2016,1.0
3627422,Родниковское,2017,1.0
3627425,Темиргоевское,2007,1.0
3627425,Темиргоевское,2008,1.0
3627425,Темиргоевское,2009,1.0
3627425,Темиргоевское,2010,1.0
3627425,Темиргоевское,2011,1.0
3627425,Темиргоевское,2012,1.0
3627425,Темиргоевское,2013,1.0
3627425,Темиргоевское,2014,1.0
3627425,Темиргоевское,2015,1.0
3627425,Темиргоевское,2016,1.0
3627425,Темиргоевское,2017,1.0
3630000,Лабинский муниципальный район,2007,1.0
3630000,Лабинский муниципальный район,2008,1.0
3630000,Лабинский муниципальный район,2009,1.0
3630000,Лабинский муниципальный район,2010,1.0
3630000,Лабинский муниципальный район,2011,1.0
3630000,Лабинский муниципальный район,2012,1.0
3630000,Лабинский муниципальный район,2013,1.0
3630000,Лабинский муниципальный район,2014,1.0
