oktmo,name,year,cliniccap
1614101,город Змеиногорск,2009,680.0
1614101,город Змеиногорск,2010,544.0
1614101,город Змеиногорск,2011,544.0
1614101,город Змеиногорск,2012,544.0
1614101,город Змеиногорск,2013,544.0
1614422,Барановский сельсовет,2008,66.0
1614422,Барановский сельсовет,2009,66.0
1614422,Барановский сельсовет,2010,66.0
1614422,Барановский сельсовет,2011,66.0
1614422,Барановский сельсовет,2012,66.0
1614422,Барановский сельсовет,2013,66.0
1614433,Карамышевский сельсовет,2008,40.0
1614433,Карамышевский сельсовет,2009,40.0
1614433,Карамышевский сельсовет,2010,40.0
1614433,Карамышевский сельсовет,2011,40.0
1614433,Карамышевский сельсовет,2012,40.0
1614433,Карамышевский сельсовет,2013,40.0
1614444,Кузьминский сельсовет,2008,44.0
1614444,Кузьминский сельсовет,2009,44.0
1614444,Кузьминский сельсовет,2010,44.0
1614444,Кузьминский сельсовет,2011,44.0
1614444,Кузьминский сельсовет,2012,44.0
1614444,Кузьминский сельсовет,2013,44.0
1614455,Октябрьский сельсовет,2008,44.0
1614455,Октябрьский сельсовет,2009,44.0
1614455,Октябрьский сельсовет,2010,44.0
1614455,Октябрьский сельсовет,2011,44.0
1614455,Октябрьский сельсовет,2012,51.0
1614455,Октябрьский сельсовет,2013,47.0
1614466,Саввушинский сельсовет,2008,40.0
1614466,Саввушинский сельсовет,2009,40.0
1614466,Саввушинский сельсовет,2010,40.0
1614466,Саввушинский сельсовет,2011,40.0
1614466,Саввушинский сельсовет,2012,40.0
1614466,Саввушинский сельсовет,2013,40.0
1614477,Таловский сельсовет,2008,28.0
1614477,Таловский сельсовет,2009,28.0
1614477,Таловский сельсовет,2010,28.0
1614477,Таловский сельсовет,2011,28.0
1614477,Таловский сельсовет,2012,30.0
1614477,Таловский сельсовет,2013,30.0
1614488,Черепановский сельсовет,2008,38.0
1614488,Черепановский сельсовет,2009,38.0
1614488,Черепановский сельсовет,2010,38.0
1614488,Черепановский сельсовет,2011,38.0
1614488,Черепановский сельсовет,2012,38.0
1614488,Черепановский сельсовет,2013,38.0
1615000,Калманский муниципальный район,2008,715.0
1615000,Калманский муниципальный район,2009,398.0
1615000,Калманский муниципальный район,2010,398.0
1615000,Калманский муниципальный район,2011,297.0
1615000,Калманский муниципальный район,2012,297.0
1615000,Калманский муниципальный район,2013,297.0
1615409,Бурановский сельсовет,2008,63.0
1615409,Бурановский сельсовет,2009,25.0
1615409,Бурановский сельсовет,2010,25.0
1615409,Бурановский сельсовет,2011,25.0
1615409,Бурановский сельсовет,2012,25.0
1615409,Бурановский сельсовет,2013,25.0
1615414,Зимарёвский сельсовет,2008,53.0
1615414,Зимарёвский сельсовет,2009,10.0
1615414,Зимарёвский сельсовет,2010,10.0
1615414,Зимарёвский сельсовет,2011,10.0
1615414,Зимарёвский сельсовет,2012,10.0
