name,popsize,avgemployers,unemployed,avgsalary,livarea,beforeschool,docsperpop,bedsperpop,cliniccap,invests,funds,companies,factoriescap,conscap,consnewareas,consnewapt,retailturnover,foodservturnover,saldo
Красногорск,175.8,60.1,5236,75658.5,37.17),7.7,34.7,39,197.1,43.2,32.9,6826,73170.4,33884.7,519.1,9530,60923.9,3962.4,54
Люберцы,208.4,30.8,4584,69516.7,33.07),11.7,30.1,32.2,181.6,2.2,40.8,5582,27195.500000000004,11378.2,603.8,12592,37469.8,1871.7,2589
Мытищи,245.6,67.7,5162,69215.1,29.17),11.3,27.8,42.9,209.8,2.4,46,9244,142442.1,5679.9,430.9,8619,130908.8,2979.5,10544
Ногинск,103.1,32.3,2268,59428.7,30.47),6.4,26.5,54.4,130.5,16.6,44.8,2747,98184.40000000001,2384.9,102.2,1981,23007.1,1292.9,-315
Одинцово,135.9,41.8,2990,67322.0,47.67),9.1,27.4,39.6,205.2,20.5,35,5463,89365.7,38256.2,295.9,5468,41657.9,2264.6,181
Орехово-Зуево,118,19.3,4416,50974.0,26.77),5.6,27.5,66.3,218.9,20.1,53,1642,97409.29999999999,434.2,26.5,282,20869.7,460.3,482
Подольск,309.3,76.8,4562,65834.6,29.67),18,36.9,69.3,187.7,18.1,53.7,7788,136248.9,10565.9,57.6,479,81215.4,2139.6,2454
Пушкино,108.7,20.7,2391,54350.9,43.67),6.2,…,…,…,12.6,42.9,4078,32054.7,6076.7,262.4,4400,35906.0,1416.0,1363
Рамен-ское,123.6,27.1,2719,60339.7,38.37),6,25,38.7,126,30.2,41.6,2674,37510.4,6055.7,219.8,3159,24783.9,816.9,1228
Реутов,108,18.3,2376,65211.7,32,6.6,31.8,30.7,93.8,4.8,43.4,1913,18998.100000000002,399.9,41.5,752,27310.0,1319.6,460
СергиевПосад,98.8,24.6,4615,50487.4,30.77),4.8,29.4,38.8,260.6,30.1,43.3,3339,18744.4,6788.9,101.4,1187,23200.6,942.2,-709
Серпухов,125.5,23.1,2761,52370.8,31.07),6.6,25.7,51.1,122.3,37.4,55.6,2494,33346.6,1922.2,91.1,773,19819.2,1270.4,232
Химки,257.8,96,4699,80899.3,37.4,16.2,27.2,34.8,156.4,3.8,33.6,10510,47239.1,15105.8,165.2,2842,131442.8,15199.6,-955
Щелково,127.3,30.9,2800,68938.0,32.17),5.6,…,…,…,16.8,31.7,3497,105076.50000000001,5859.2,125.8,1577,25775.8,693.7,150
Электро-сталь,152.6,28.4,1741,53254.0,22.37),6.9,18.3,42.1,145.6,20.8,47,2543,54569.899999999994,5461.2,11,197,19425.7,1031.2,-2269
Балашиха,518.3,60.2,1814,70066.2,30.8,30.7,21.1,27.5,147.8,23.6,44.5,8190,71656.8,13923.0,313.7,5686,133081.2,3574.2,11309
Долгопрудный,120.3,21.6,278,88030.5,30.7,8.6,28.8,37.3,143.4,14.6,56.6,3083,29662.399999999998,3673.6,121.3,3050,19456.3,736.8,3037
Домодедово,136.1,58,474,77436.2,45.97),7,31.3,28.5,172.3,14.7,42.4,4063,42426.6,12915.1,258,2848,55535.8,8357.7,1796
Жуковский,107.1,28.2,374,81831.2,23.4,5.3,36.1,56.3,106.4,16.5,39.7,2596,29288.7,2623.6,37.5,809,15650.0,488.7,817
Коломна,136.8,38.1,647,58674.5,27.47),7.5,…,…,…,7.1,61,2791,96336.5,1331.4,80.9,782,25053.0,1491.2,-920
Королев,225.3,49.6,485,79690.5,38.4,11.3,27.7,47.9,144.7,13.5,49.7,5465,119276.3,3214.8,92.5,1742,36582.5,1165.7,1600
