name,year,popsize,avgemployers,unemployed,avgsalary,livarea,beforeschool,docsperpop,bedsperpop,cliniccap,invests,funds,companies,factoriescap,conscap,consnewareas,consnewapt,retailturnover,foodservturnover,saldo
Шахты,2017,233.8,31.7,763,26465.2,21.4,8.5,27.1,90.9,241.1,9.1,33.0,3171,23448.699999999997,2227.1,35.7,331,11117.0,138.9,-579
Шахты,2018,231.7,31.6,758,29053.0,21.9,8.5,27.5,91.0,242.8,16.7,33.7,3135,32482.2,1760.3,50.0,566,11469.9,151.5,-845
Майкоп,2017,165.3,37.2,534,27481.1,28.6,7.4,65.2,138.8,379.4,67.9,58.1,3669,14217.4,886.7,39.4,340,9116.9,461.5,-1320
Майкоп,2018,163.7,36.9,447,30620.8,29.0,7.3,69.4,141.3,379.9,69.1,50.5,3357,16767.0,1821.8,34.1,268,10825.6,490.1,-1336
Элиста,2017,103.1,28.4,592,26639.8,29.1,7.7,96.8,157.3,306.0,31.0,49.4,2700,2582.4999999999995,553.3,82.8,1046,4626.7,58.6,-1158
Элиста,2018,102.6,28.9,484,29860.2,29.5,7.8,94.1,156.5,295.6,21.9,50.8,2608,3323.1000000000004,294.6,79.3,776,6013.2,74.8,-1004
Краснодар,2017,990.2,291.2,1468,42028.7,33.1,62.8,92.0,137.8,327.9,38.6,38.3,63353,372435.79999999993,35206.8,2451.1,42258,190907.7,4582.7,12147
Краснодар,2018,1008.0,296.8,1462,45998.0,34.7,63.7,93.9,132.7,333.6,37.5,42.9,60246,431573.20000000007,38918.9,2020.8,33850,214209.9,5613.7,13396
Армавир,2017,209.2,33.1,514,26387.1,22.0,7.6,33.2,79.4,259.5,55.3,51.8,3598,23349.100000000002,5106.4,96.4,1000,11678.0,236.9,-13
Армавир,2018,208.8,32.6,492,28394.2,22.4,7.9,32.4,79.6,248.4,54.3,54.3,3346,22453.300000000003,7019.1,62.1,646,12205.5,273.5,-232
Новороссийск,2017,334.5,71.3,275,41613.1,20.6,12.0,41.2,67.0,248.5,5.2,41.3,8615,49090.6,14408.5,248.3,3558,36488.2,1913.6,3892
Новороссийск,2018,338.3,71.4,402,46055.6,23.5,12.1,35.7,61.7,233.6,3.8,42.8,8528,55791.6,14315.6,268.4,4682,40407.4,1548.1,3535
Сочи,2017,507.4,94.9,724,39003.6,20.5,18.0,42.1,71.5,222.4,26.9,24.5,21217,22911.399999999998,8697.0,117.6,1511,62276.2,7054.9,12781
Сочи,2018,524.0,96.4,668,42225.8,20.5,18.1,40.7,68.9,225.8,24.1,31.5,21140,23859.7,5078.6,357.8,6033,74890.6,8227.2,14669
Астрахань,2017,533.9,124.3,2015,35179.0,24.8,28.0,93.4,131.1,296.6,1.5,33.3,11979,268508.89999999997,4237.7,286.3,3580,41699.1,903.9,679
Астрахань,2018,534.2,121.5,1624,39118.0,25.1,28.2,92.7,131.1,302.4,3.4,35.3,11150,386196.4,5050.9,170.3,2158,44581.2,853.2,51
Волгоград,2017,1013.5,243.4,3245,33718.9,23.9,45.1,73.0,118.3,335.6,27.4,55.0,27506,561907.4,21210.2,377.7,6132,116189.1,2662.9,455
Волгоград,2018,1013.5,239.7,2667,36779.1,24.3,44.8,73.7,118.4,327.8,20.3,57.0,25346,706429.7,16679.9,387.8,5838,122720.0,3720.5,2813
Волжский,2017,325.2,59.3,976,31395.1,19.9,14.5,37.9,65.3,207.3,4.0,37.5,5995,160962.59999999998,1498.2,103.1,2013,24665.6,233.2,-216
Волжский,2018,323.6,60.0,820,34375.6,20.1,14.2,38.6,64.8,211.4,7.9,39.5,5619,185773.4,996.4,21.1,294,26491.2,236.8,-631
Камышин,2017,111.1,20.3,550,24245.6,24.2,6.2,35.7,108.5,338.1,7.0,54.3,1196,10765.599999999999,178.0,9.3,60,6595.0,…,-92
Камышин,2018,110.3,19.7,450,26676.4,24.5,6.2,36.4,109.2,332.6,36.9,54.2,1113,10890.0,…,9.6,140,7891.4,167.8,-126
Белгород,2017,391.6,107.2,1440,33566.7,24.8,16.9,77.2,142.8,317.4,15.7,54.4,20948,95501.4,6167.0,197.1,2718,39648.9,1172.9,613
Белгород,2018,392.4,105.8,1438,36954.7,25.1,17.1,79.2,147.4,321.8,16.2,55.4,19352,98457.2,4601.5,164.3,2741,41674.4,1087.1,1384
СтарыйОскол,2017,224.1,64.7,771,34012.4,27.2,12.1,40.1,57.7,204.5,…,43.3,7216,212739.9,2969.9,127.8,1187,19061.3,534.3,718
СтарыйОскол,2018,223.8,64.8,771,37889.8,27.8,12.1,37.5,51.5,217.3,…,47.2,6057,256190.3,3351.5,132.7,1259,23274.9,791.7,-54
Брянск,2017,424.0,119.6,1507,30540.9,29.2,19.5,71.4,133.6,352.0,19.5,49.7,12177,91440.40000000001,3057.4,405.6,6992,42363.4,814.5,130
Брянск,2018,422.8,119.4,1087,33736.8,29.8,19.5,70.1,131.9,351.2,26.2,50.7,11440,99915.7,2544.9,287.6,4580,46160.9,875.0,330
Владимир,2017,359.5,105.0,1957,33213.1,25.6,16.6,60.1,146.5,344.3,27.8,50.9,14076,95918.4,2556.5,182.8,3222,41721.6,1190.7,1676
Владимир,2018,360.4,104.0,1727,36511.5,26.1,19.2,61.8,144.0,344.2,25.4,52.5,13378,103309.4,4036.2,205.7,3363,46391.7,1281.4,1953
