0-4_male,5-9_male,10-14_male,15-19_male,20-24_male,25-29_male,30-34_male,35-39_male,40-44_male,45-49_male,50-54_male,55-59_male,60-64_male,65-69_male,0-4_female,5-9_female,10-14_female,15-19_female,20-24_female,25-29_female,30-34_female,35-39_female,40-44_female,45-49_female,50-54_female,55-59_female,60-64_female,65-69_female,risk
0.07367,0.0787,0.0561,0.04486,0.04224,0.0611,0.0714,0.07385,0.07086,0.0512,0.1466,0.0948,0.08105,0.0536,0.06464,0.0669,0.0527,0.04736,0.03564,0.0428,0.0678,0.0724,0.0636,0.0561,0.1556,0.1043,0.09814,0.07196,0.0
0.07117,0.0795,0.0602,0.04547,0.04398,0.05692,0.07043,0.0791,0.0689,0.0563,0.1342,0.0878,0.08997,0.05597,0.05975,0.07,0.05447,0.0504,0.0412,0.03387,0.0644,0.07355,0.0685,0.0567,0.1458,0.0988,0.1055,0.077,0.0
0.06445,0.0808,0.0671,0.04446,0.0451,0.05588,0.063,0.08356,0.0712,0.06027,0.126,0.08234,0.0935,0.06226,0.0568,0.0703,0.06088,0.04736,0.04642,0.02882,0.0611,0.0742,0.0716,0.05942,0.14,0.09296,0.1089,0.08124,0.0
0.063,0.08215,0.0727,0.0496,0.04147,0.05478,0.065,0.079,0.0719,0.0682,0.1152,0.0727,0.09814,0.06616,0.0536,0.0708,0.06537,0.0496,0.0496,0.0275,0.05682,0.07385,0.07385,0.06476,0.1306,0.0848,0.1104,0.08856,0.0
0.05685,0.08057,0.08167,0.05014,0.03625,0.0593,0.0626,0.07654,0.0778,0.07294,0.10986,0.067,0.09924,0.06915,0.05164,0.07166,0.0695,0.0514,0.05038,0.03293,0.05005,0.07513,0.0762,0.06775,0.1213,0.07367,0.11255,0.09576,0.0
0.0765,0.05902,0.0552,0.0396,0.0384,0.07324,0.0789,0.0809,0.0763,0.0645,0.1399,0.08636,0.07416,0.05704,0.0721,0.06006,0.053,0.0452,0.03394,0.0427,0.05646,0.06256,0.0699,0.0541,0.1605,0.1023,0.101,0.0862,0.0
0.0721,0.0656,0.05566,0.04428,0.0348,0.0601,0.0795,0.0781,0.0794,0.0672,0.1382,0.0856,0.0797,0.05978,0.0647,0.0682,0.05164,0.04623,0.041,0.03543,0.0596,0.06213,0.0704,0.05753,0.1511,0.0961,0.1068,0.0892,0.1403081914030819
0.06793,0.0738,0.0575,0.04752,0.03333,0.04752,0.0795,0.07904,0.07874,0.07495,0.1323,0.08136,0.0851,0.0614,0.0641,0.0681,0.05698,0.04584,0.04617,0.0323,0.05344,0.0628,0.07104,0.06232,0.1421,0.09076,0.10944,0.0946,0.08191403081914031
0.0673,0.0764,0.05887,0.0491,0.03802,0.03754,0.08185,0.0771,0.0792,0.0777,0.1296,0.07806,0.0855,0.06366,0.0628,0.07104,0.05823,0.04633,0.0465,0.03134,0.05295,0.0597,0.0719,0.06714,0.1372,0.08875,0.11017,0.09595,0.1484184914841849
0.06494,0.079,0.06305,0.0483,0.04474,0.03137,0.08185,0.0739,0.07983,0.0809,0.1256,0.07135,0.08765,0.06744,0.06287,0.0727,0.0603,0.05115,0.0459,0.03084,0.04947,0.0613,0.0701,0.071,0.1318,0.08234,0.1096,0.10065,0.0900243309002433
