oktmo,name,year,inflow
1623444,Краснознаменский сельсовет,2020,25.0
1623455,Кузнецовский сельсовет,2020,7.0
1623466,Курьинский сельсовет,2020,115.0
1623468,Новофирсовский сельсовет,2020,10.0
1623477,Трусовский сельсовет,2020,18.0
1623488,Усть-Таловский сельсовет,2020,18.0
1624000,Кытмановский муниципальный район,2020,352.0
1624407,Дмитро-Титовский сельсовет,2020,33.0
1624423,Кытмановский сельсовет,2020,152.0
1624434,Червовский сельсовет,2020,11.0
1624446,Новотарабинский сельсовет,2020,13.0
1624457,Октябрьский сельсовет,2020,29.0
1624469,Порошинский сельсовет,2020,16.0
1624480,Семено-Красиловский сельсовет,2020,17.0
1624491,Сунгайский сельсовет,2020,22.0
1624493,Тягунский сельсовет,2020,49.0
1624494,Тяхтинский сельсовет,2020,10.0
1625000,Локтевский муниципальный район,2020,627.0
1625101,город Горняк,2020,372.0
1625404,Александровский сельсовет,2020,7.0
1625409,Второкаменский сельсовет,2020,5.0
1625413,Георгиевский сельсовет,2020,9.0
1625417,Гилёвский сельсовет,2020,10.0
1625419,Ермошихинский сельсовет,2020,3.0
1625421,Золотухинский сельсовет,2020,19.0
1625426,Кировский сельсовет,2020,21.0
1625434,Локтевский сельсовет,2020,25.0
1625440,Масальский сельсовет,2020,38.0
1625449,Николаевский сельсовет,2020,12.0
1625456,Новенский сельсовет,2020,11.0
1625459,Новомихайловский сельсовет,2020,20.0
1625466,Покровский сельсовет,2020,11.0
1625473,Ремовский сельсовет,2020,14.0
1625476,Самарский сельсовет,2020,12.0
1625484,Успенский сельсовет,2020,15.0
1625495,Устьянский сельсовет,2020,23.0
1626000,Мамонтовский муниципальный район,2020,752.0
1626406,Буканский сельсовет,2020,24.0
1626412,Гришенский сельсовет,2020,12.0
1626424,Кадниковский сельсовет,2020,23.0
1626429,Комсомольский сельсовет,2020,21.0
1626434,Корчинский сельсовет,2020,52.0
1626437,Костино-Логовской сельсовет,2020,27.0
1626442,Крестьянский сельсовет,2020,23.0
1626449,Мамонтовский сельсовет,2020,391.0
1626460,Островновский сельсовет,2020,70.0
1626468,Покровский сельсовет,2020,43.0
1626473,Сусловский сельсовет,2020,18.0
1626478,Тимирязевский сельсовет,2020,10.0
1626492,Чернокурьинский сельсовет,2020,38.0
1627000,Михайловский муниципальный район,2020,639.0
1627154,Малиновоозёрский поссовет,2020,104.0
1627405,Ащегульский сельсовет,2020,10.0
1627411,Бастанский сельсовет,2020,40.0
1627416,Михайловский сельсовет,2020,351.0
1627420,Назаровский сельсовет,2020,19.0
1627422,Николаевский сельсовет,2020,43.0
1627433,Полуямский сельсовет,2020,16.0
1627444,Ракитовский сельсовет,2020,56.0
1628000,Новичихинский муниципальный район,2020,232.0
1628411,Долговский сельсовет,2020,11.0
1628422,Лобанихинский сельсовет,2020,16.0
1628433,Мельниковский сельсовет,2020,16.0
1628444,Новичихинский сельсовет,2020,116.0
1628455,Поломошенский сельсовет,2020,18.0
1628466,Солоновский сельсовет,2020,36.0
1628477,Токарёвский сельсовет,2020,19.0
1629000,Зональный муниципальный район,2020,636.0
1629412,Буланихинский сельсовет,2020,54.0
1629426,Зональный сельсовет,2020,112.0
1629442,Луговской сельсовет,2020,49.0
1629466,Новочемровский сельсовет,2020,98.0
1629470,Октябрьский сельсовет,2020,42.0
1629474,Плешковский сельсовет,2020,56.0
1629480,Соколовский сельсовет,2020,133.0
1629493,Чемровский сельсовет,2020,66.0
1629496,Шубенский сельсовет,2020,26.0
1630000,Павловский муниципальный район,2020,858.0
1630401,Арбузовский сельсовет,2020,18.0
1630403,Бурановский сельсовет,2020,21.0
1630412,Елунинский сельсовет,2020,14.0
1630432,Колыванский сельсовет,2020,38.0
1630437,Комсомольский сельсовет,2020,55.0
1630449,Лебяжинский сельсовет,2020,28.0
1630455,Новозоринский сельсовет,2020,76.0
1630460,Павловский сельсовет,2020,292.0
1630462,Павлозаводской сельсовет,2020,57.0
1630464,Прутской сельсовет,2020,34.0
1630466,Рогозихинский сельсовет,2020,35.0
1630473,Стуковский сельсовет,2020,33.0
1630482,Черемновский сельсовет,2020,73.0
1630485,Чернопятовский сельсовет,2020,29.0
1630490,Шаховский сельсовет,2020,55.0
1631000,Панкрушихинский муниципальный район,2020,319.0
1631411,Велижанский сельсовет,2020,22.0
1631417,Железнодорожный сельсовет,2020,21.0
1631422,Зятьковский сельсовет,2020,17.0
1631433,Кривинский сельсовет,2020,7.0
1631444,Луковский сельсовет,2020,18.0
1631456,Панкрушихинский сельсовет,2020,132.0
1631467,Подойниковский сельсовет,2020,73.0
1631478,Романовский сельсовет,2020,16.0
1631489,Урываевский сельсовет,2020,13.0
1632000,Первомайский муниципальный район,2020,1750.0
1632406,Акуловский сельсовет,2020,14.0
1632412,Баюновоключевский сельсовет,2020,53.0
1632416,Берёзовский сельсовет,2020,241.0
1632420,Бобровский сельсовет,2020,168.0
1632422,Боровихинский сельсовет,2020,163.0
1632425,Жилинский сельсовет,2020,31.0
1632430,Журавлихинский сельсовет,2020,24.0
1632434,Зудиловский сельсовет,2020,216.0
1632442,Логовской сельсовет,2020,22.0
1632445,Новоберёзовский сельсовет,2020,8.0
1632449,Первомайский сельсовет,2020,72.0
1632454,Повалихинский сельсовет,2020,109.0
1632461,Рассказихинский сельсовет,2020,38.0
1632472,Санниковский сельсовет,2020,411.0
1632483,Северный сельсовет,2020,30.0
1632494,Сибирский сельсовет,2020,84.0
1632496,Солнечный сельсовет,2020,36.0
1632497,Сорочелоговской сельсовет,2020,30.0
1633000,Петропавловский муниципальный район,2020,304.0
1633405,Алексеевский сельсовет,2020,41.0
1633407,Антоньевский сельсовет,2020,18.0
1633414,Зеленодольский сельсовет,2020,64.0
1633423,Камышенский сельсовет,2020,24.0
1633434,Николаевский сельсовет,2020,10.0
1633440,Новообинский сельсовет,2020,21.0
1633446,Паутовский сельсовет,2020,22.0
1633457,Петропавловский сельсовет,2020,87.0
1633479,Соловьихинский сельсовет,2020,17.0
1634000,Поспелихинский муниципальный район,2020,660.0
1634408,Борковский сельсовет,2020,23.0
1634422,12 лет Октября сельсовет,2020,8.0
1634433,Калмыцко-Мысовской сельсовет,2020,25.0
1634439,Клепечихинский сельсовет,2020,49.0
1634445,Красноалтайский сельсовет,2020,16.0
1634450,Красноярский сельсовет,2020,26.0
1634467,Мамонтовский сельсовет,2020,88.0
