oktmo,name,regional,national,international
41630424,Горбунковское,0.1675603217158177,0.6702412868632708,0.16219839142091153
41630428,Кипенское,0.13717693836978131,0.7176938369781312,0.14512922465208747
41630432,Копорское,0.3151515151515151,0.4484848484848485,0.23636363636363636
41630434,Лаголовское,0.1226158038147139,0.6158038147138964,0.2615803814713896
41630436,Лопухинское,0.2896174863387978,0.48633879781420764,0.22404371584699453
41630438,Оржицкое,0.1568627450980392,0.596078431372549,0.24705882352941178
41630440,Ропшинское,0.14709371293001186,0.7461447212336892,0.10676156583629894
41630444,Русско-Высоцкое,0.19444444444444445,0.6435185185185185,0.16203703703703703
41633000,Лужский муниципальный район,0.3224821973550356,0.38521532722956936,0.29230247541539506
41633101,Лужское,0.23376623376623376,0.5395513577331759,0.22668240850059032
41633154,Толмачёвское,0.4440894568690096,0.31309904153354634,0.24281150159744408
41633408,Володарское,0.3402777777777778,0.5,0.1597222222222222
41633416,Волошовское,0.375886524822695,0.3900709219858156,0.23404255319148937
41633420,Дзержинское,0.25308641975308643,0.35802469135802467,0.3888888888888889
41633436,Заклинское,0.3103448275862069,0.4103448275862069,0.2793103448275862
41633440,Мшинское,0.2336065573770492,0.26229508196721313,0.5040983606557377
41633444,Оредежское,0.26666666666666666,0.5623188405797102,0.17101449275362318
41633448,Осьминское,0.26170798898071623,0.5371900826446281,0.20110192837465565
41633456,Ям-Тёсовское,0.2863849765258216,0.5727699530516432,0.14084507042253522
41633464,Серебрянское,0.27014218009478674,0.4312796208530806,0.2985781990521327
41633468,Скребловское,0.27672955974842767,0.4779874213836478,0.24528301886792453
41633472,Тесовское,0.3333333333333333,0.36507936507936506,0.30158730158730157
41633478,Торковичское,0.3974358974358974,0.48717948717948717,0.11538461538461539
41633488,Ретюнское,0.36585365853658536,0.2845528455284553,0.34959349593495936
41636000,Подпорожский муниципальный район,0.28898426323319026,0.6244635193133047,0.08655221745350501
41636101,Подпорожское,0.19034482758620688,0.6868965517241379,0.12275862068965518
41636154,Важинское,0.4532871972318339,0.43944636678200694,0.10726643598615918
41636158,Вознесенское,0.3505747126436782,0.5517241379310345,0.09770114942528736
41636163,Никольское,0.3532608695652174,0.4673913043478261,0.1793478260869565
41636404,Винницкое,0.5136363636363637,0.4090909090909091,0.07727272727272727
41639000,Приозерский муниципальный район,0.32971938775510207,0.32748724489795916,0.34279336734693877
41639101,Приозерское,0.21957040572792363,0.40970564836913287,0.3707239459029435
41639154,Кузнечнинское,0.38480392156862747,0.19852941176470587,0.4166666666666667
