oktmo,name,year,saldo
1647424,Казанцевский сельсовет,2013,-1.0
1647430,Кашкарагаихинский сельсовет,2013,-3.0
1647436,Курочкинский сельсовет,2013,-29.0
1647442,Ларичихинский сельсовет,2013,-34.0
1647448,Луговской сельсовет,2013,-8.0
1647451,Лушниковский сельсовет,2013,-6.0
1647456,Новоозёрский сельсовет,2013,-27.0
1647459,Новоперуновский сельсовет,2013,11.0
1647462,Новотроицкий сельсовет,2013,-3.0
1647466,Озёрский сельсовет,2013,92.0
1647470,Речкуновский сельсовет,2013,-8.0
1647473,Среднесибирский сельсовет,2013,-40.0
1647475,Староперуновский сельсовет,2013,7.0
1647482,Шадринцевский сельсовет,2013,-16.0
1647492,Шишкинский сельсовет,2013,7.0
1648000,Тогульский муниципальный район,2013,-77.0
1648406,Антипинский сельсовет,2013,-13.0
1648430,Новоиушинский сельсовет,2013,-12.0
1648436,Старотогульский сельсовет,2013,-41.0
1648446,Тогульский сельсовет,2013,3.0
1648457,Топтушинский сельсовет,2013,-14.0
1649000,Топчихинский муниципальный район,2013,-116.0
1649403,Белояровский сельсовет,2013,-1.0
1649407,Володарский сельсовет,2013,-8.0
1649409,Зиминский сельсовет,2013,-25.0
1649412,Кировский сельсовет,2013,-12.0
1649420,Ключевский сельсовет,2013,-26.0
1649424,Красноярский сельсовет,2013,-3.0
1649436,Макарьевский сельсовет,2013,-4.0
1649447,Парфёновский сельсовет,2013,-45.0
1649450,Переясловский сельсовет,2013,-6.0
1649452,Победимский сельсовет,2013,-21.0
1649454,Покровский сельсовет,2013,-5.0
1649460,Сидоровский сельсовет,2013,3.0
1649462,Топчихинский сельсовет,2013,73.0
1649469,Фунтиковский сельсовет,2013,0.0
1649475,Хабазинский сельсовет,2013,2.0
1649480,Чаузовский сельсовет,2013,-15.0
1649491,Чистюньский сельсовет,2013,-23.0
1650000,Третьяковский муниципальный район,2013,-138.0
1650411,Екатерининский сельсовет,2013,-20.0
1650422,Корболихинский сельсовет,2013,-18.0
1650433,Новоалейский сельсовет,2013,-21.0
1650444,Первокаменский сельсовет,2013,-22.0
1650455,Плосковский сельсовет,2013,-5.0
1650460,Садовый сельсовет,2013,-18.0
1650466,Староалейский сельсовет,2013,51.0
