name,year,inflow
Гордеевский сельсовет,2022,86.0
Ерёминский сельсовет,2022,28.0
Заводской сельсовет,2022,33.0
Зелёнополянский сельсовет,2022,14.0
Кипешинский сельсовет,2022,20.0
Петровский сельсовет,2022,20.0
Троицкий сельсовет,2022,420.0
Хайрюзовский сельсовет,2022,69.0
Южаковский сельсовет,2022,5.0
Тюменцевский муниципальный район,2022,213.0
Андроновский сельсовет,2022,9.0
Берёзовский сельсовет,2022,9.0
Вылковский сельсовет,2022,38.0
Грязновский сельсовет,2022,1.0
Заводской сельсовет,2022,12.0
Ключевской сельсовет,2022,7.0
Королёвский сельсовет,2022,6.0
Новокарповский сельсовет,2022,6.0
Тюменцевский сельсовет,2022,80.0
Урывский сельсовет,2022,6.0
Черемшанский сельсовет,2022,7.0
Шарчинский сельсовет,2022,26.0
Юдихинский сельсовет,2022,6.0
Угловский муниципальный район,2022,414.0
Круглянский сельсовет,2022,29.0
Лаптевский сельсовет,2022,42.0
Озёрно-Кузнецовский сельсовет,2022,38.0
Павловский сельсовет,2022,44.0
Симоновский сельсовет,2022,22.0
Тополинский сельсовет,2022,32.0
Угловский сельсовет,2022,207.0
Усть-Калманский муниципальный район,2022,398.0
Кабановский сельсовет,2022,28.0
Михайловский сельсовет,2022,33.0
Новобурановский сельсовет,2022,25.0
Новокалманский сельсовет,2022,13.0
Огнёвский сельсовет,2022,10.0
Пономарёвский сельсовет,2022,6.0
Приозёрный сельсовет,2022,17.0
Усть-Калманский сельсовет,2022,224.0
Чарышский сельсовет,2022,42.0
Усть-Пристанский муниципальный район,2022,253.0
Беловский сельсовет,2022,2.0
Брусенцевский сельсовет,2022,5.0
Вяткинский сельсовет,2022,14.0
Елбанский сельсовет,2022,19.0
Клепиковский сельсовет,2022,11.0
Коробейниковский сельсовет,2022,15.0
Краснодарский сельсовет,2022,5.0
Красноярский сельсовет,2022,15.0
Нижнегусихинский сельсовет,2022,10.0
Нижнеозернинский сельсовет,2022,32.0
Троицкий сельсовет,2022,12.0
Усть-Пристанский сельсовет,2022,106.0
Чеканихинский сельсовет,2022,7.0
Хабарский муниципальный район,2022,465.0
Зятьково-Реченский сельсовет,2022,9.0
Коротоякский сельсовет,2022,67.0
