oktmo,name,year,outflow
01713000,город Новоалтайск,2019,99.0
01716000,город Рубцовск,2019,380.0
01719000,город Славгород,2019,34.0
01730000,город Яровое,2019,45.0
01755000,ЗАТО Сибирский,2019,9.0
03601000,Абинский муниципальный район,2019,129.0
03601101,Абинское,2019,74.0
03601153,Ахтырское,2019,23.0
03601401,Варнавинское,2019,3.0
03601403,Мингрельское,2019,4.0
03601405,Светлогорское,2019,5.0
03601406,Федоровское,2019,3.0
03601408,Холмское,2019,17.0
03605000,Апшеронский муниципальный район,2019,384.0
03605101,Апшеронское,2019,159.0
03605109,Хадыженское,2019,79.0
03605157,Нефтегорское,2019,27.0
03605407,Кабардинское,2019,11.0
03605410,Кубанское,2019,45.0
03605413,Куринское,2019,16.0
03605416,Мезмайское,2019,5.0
03605419,Новополянское,2019,9.0
03605431,Тверское,2019,28.0
03605434,Черниговское,2019,5.0
03607000,Белоглинский муниципальный район,2019,51.0
03607402,Белоглинское,2019,27.0
03607404,Новопавловское,2019,9.0
03607407,Успенское,2019,10.0
03607410,Центральное,2019,5.0
03608000,Белореченский муниципальный район,2019,93.0
03608101,Белореченское,2019,48.0
03608402,Бжедуховское,2019,3.0
03608404,Великовечненское,2019,8.0
03608405,Дружненское,2019,2.0
03608407,Первомайское,2019,5.0
03608410,Пшехское,2019,6.0
03608412,Родниковское,2019,4.0
03608416,Черниговское,2019,2.0
03608419,Школьненское,2019,1.0
03608420,Южненское,2019,14.0
03610000,Брюховецкий муниципальный район,2019,66.0
03610402,Батуринское,2019,3.0
03610404,Большебейсугское,2019,8.0
03610407,Брюховецкое,2019,27.0
03610410,Новоджерелиевское,2019,11.0
03610416,Переясловское,2019,10.0
03610419,Свободненское,2019,3.0
03610422,Чепигинское,2019,4.0
03612000,Выселковский муниципальный район,2019,44.0
03612402,Бейсугское,2019,2.0
03612407,Березанское,2019,6.0
03612410,Бузиновское,2019,3.0
03612413,Выселковское,2019,17.0
03612416,Газырское,2019,4.0
03612419,Ирклиевское,2019,4.0
03612422,Новобейсугское,2019,2.0
03612425,Новомалороссийское,2019,6.0
03613000,Гулькевичский муниципальный район,2019,232.0
03613101,Гулькевичское,2019,101.0
03613154,Гирейское,2019,10.0
03613162,Красносельское,2019,25.0
03613404,Венцы-Заря,2019,16.0
03613413,Комсомольское,2019,10.0
03613416,Кубань,2019,12.0
03613425,Николенское,2019,4.0
03613429,Новоукраинское,2019,20.0
03613434,Отрадо-Кубанское,2019,14.0
03613437,Отрадо-Ольгинское,2019,1.0
03613440,Пушкинское,2019,3.0
03613445,Скобелевское,2019,3.0
03613448,Соколовское,2019,8.0
03613450,Союз Четырех Хуторов,2019,1.0
03613455,Тысячное,2019,4.0
03614000,Динской муниципальный район,2019,63.0
03614402,Васюринское,2019,6.0
03614404,Динское,2019,15.0
03614410,Красносельское,2019,1.0
03614412,Мичуринское,2019,4.0
03614414,Нововеличковское,2019,11.0
03614416,Новотитаровское,2019,4.0
03614422,Пластуновское,2019,5.0
03614428,Старомышастовское,2019,9.0
03614445,Южно-Кубанское,2019,8.0
03616000,Ейский муниципальный район,2019,270.0
03616101,Ейское,2019,191.0
03616402,Александровское,2019,12.0
03616404,Должанское,2019,8.0
03616407,Ейское,2019,13.0
03616410,Камышеватское,2019,1.0
03616413,Копанское,2019,6.0
03616416,Красноармейское,2019,2.0
03616419,Кухаривское,2019,17.0
03616420,Моревское,2019,8.0
03616421,Трудовое,2019,5.0
03616422,Ясенское,2019,7.0
03618000,Кавказский муниципальный район,2019,196.0
03618101,Кропоткинское,2019,120.0
03618404,Дмитриевское,2019,11.0
03618407,им М. Горького,2019,6.0
03618410,Кавказское,2019,19.0
03618413,Казанское,2019,18.0
03618419,Лосевское,2019,7.0
03618422,Мирское,2019,13.0
03618452,Темижбекское,2019,2.0
03619000,Калининский муниципальный район,2019,75.0
03619405,Бойкопонурское,2019,7.0
03619406,Гривенское,2019,11.0
03619407,Гришковское,2019,1.0
03619408,Джумайловское,2019,2.0
03619420,Калининское,2019,27.0
03619422,Куйбышевское,2019,4.0
03619427,Новониколаевское,2019,1.0
03619435,Старовеличковское,2019,22.0
03620000,Каневской муниципальный район,2019,223.0
03620402,Каневское,2019,104.0
03620404,Красногвардейское,2019,1.0
03620405,Кубанскостепное,2019,6.0
03620407,Новодеревянковское,2019,18.0
03620410,Новоминское,2019,39.0
03620413,Привольненское,2019,7.0
03620414,Придорожное,2019,2.0
03620416,Стародеревянковское,2019,31.0
03620419,Челбасское,2019,15.0
03621000,Кореновский муниципальный район,2019,73.0
03621101,Кореновское,2019,33.0
03621402,Братковское,2019,2.0
03621407,Дядьковское,2019,5.0
03621413,Новоберезанское,2019,7.0
03621419,Платнировское,2019,15.0
03621422,Пролетарское,2019,2.0
03621425,Раздольненское,2019,5.0
03621428,Сергиевское,2019,4.0
03623000,Красноармейский муниципальный район,2019,324.0
03623407,Ивановское,2019,10.0
03623410,Полтавское,2019,79.0
03623412,Марьянское,2019,56.0
03623413,Новомышастовское,2019,47.0
03623419,Октябрьское,2019,26.0
03623420,Протичкинское,2019,24.0
03623422,Староджерелиевское,2019,11.0
03623425,Старонижестеблиевское,2019,30.0
03623428,Трудобеликовское,2019,39.0
03623431,Чебургольское,2019,2.0
03624000,Крыловский муниципальный район,2019,87.0
03624411,Крыловское,2019,42.0
03624414,Кугоейское,2019,3.0
03624418,Новопашковское,2019,3.0
03624421,Новосергиевское,2019,9.0
03624424,Октябрьское,2019,30.0
03625000,Крымский муниципальный район,2019,1205.0
03625101,Крымское,2019,629.0
03625402,Адагумское,2019,35.0
03625404,Варениковское,2019,87.0
03625407,Кеслеровское,2019,37.0
03625410,Киевское,2019,78.0
03625412,Нижнебаканское,2019,85.0
03625413,Пригородное,2019,52.0
03625416,Мерчанское,2019,15.0
03625419,Молдаванское,2019,69.0
03625422,Троицкое,2019,39.0
03625431,Южное,2019,79.0
03627000,Курганинский муниципальный район,2019,153.0
03627101,Курганинское,2019,87.0
03627402,Безводное,2019,5.0
03627404,Воздвиженское,2019,2.0
03627407,Константиновское,2019,3.0
03627410,Михайловское,2019,12.0
03627413,Новоалексеевское,2019,8.0
03627416,Октябрьское,2019,2.0
03627419,Петропавловское,2019,5.0
03627422,Родниковское,2019,20.0
03627425,Темиргоевское,2019,9.0
03628000,Кущевский муниципальный район,2019,76.0
03628402,Краснополянское,2019,1.0
03628403,Глебовское,2019,4.0
03628407,Кисляковское,2019,4.0
03628410,Красносельское,2019,4.0
03628416,Кущевское,2019,41.0
03628422,Первомайское,2019,3.0
03628428,Раздольненское,2019,13.0
03628429,Среднечубуркское,2019,2.0
03628431,Шкуринское,2019,4.0
03630000,Лабинский муниципальный район,2019,200.0
03630101,Лабинское,2019,137.0
03630404,Ахметовское,2019,2.0
03630416,Владимирское,2019,23.0
03630419,Вознесенское,2019,9.0
03630425,Зассовское,2019,4.0
03630428,Каладжинское,2019,6.0
03630437,Чамлыкское,2019,2.0
03630439,Лучевое,2019,2.0
03630443,Отважненское,2019,3.0
