oktmo,name,year,avgsalary
1656000,Хабарский муниципальный район,2016,16656.5
1657000,Целинный муниципальный район,2011,11460.0
1657000,Целинный муниципальный район,2012,14006.5
1657000,Целинный муниципальный район,2013,16279.9
1657000,Целинный муниципальный район,2014,17898.0
1657000,Целинный муниципальный район,2015,18862.6
1657000,Целинный муниципальный район,2016,20647.4
1658000,Чарышский муниципальный район,2011,10120.1
1658000,Чарышский муниципальный район,2012,11753.4
1658000,Чарышский муниципальный район,2013,12997.2
1658000,Чарышский муниципальный район,2014,15294.3
1658000,Чарышский муниципальный район,2015,15687.9
1658000,Чарышский муниципальный район,2016,16799.1
1659000,Шипуновский муниципальный район,2011,11116.1
1659000,Шипуновский муниципальный район,2012,12997.2
1659000,Шипуновский муниципальный район,2013,15209.8
1659000,Шипуновский муниципальный район,2014,15829.6
1659000,Шипуновский муниципальный район,2015,16777.7
1659000,Шипуновский муниципальный район,2016,17859.1
1660000,Немецкий национальный муниципальный район,2011,9909.8
1660000,Немецкий национальный муниципальный район,2012,11221.5
1660000,Немецкий национальный муниципальный район,2013,12567.0
1660000,Немецкий национальный муниципальный район,2014,14375.7
1660000,Немецкий национальный муниципальный район,2015,15041.5
1660000,Немецкий национальный муниципальный район,2016,17071.4
1701000,город Барнаул,2011,18573.8
1701000,город Барнаул,2012,21752.6
1701000,город Барнаул,2013,24451.7
1701000,город Барнаул,2014,26521.7
1701000,город Барнаул,2015,27433.7
1701000,город Барнаул,2016,28937.0
1703000,город Алейск,2011,14923.9
1703000,город Алейск,2012,17060.5
1703000,город Алейск,2013,18773.0
1703000,город Алейск,2014,20424.5
1703000,город Алейск,2015,21080.7
1703000,город Алейск,2016,22947.5
1704000,город Белокуриха,2011,17815.6
1704000,город Белокуриха,2012,20235.2
1704000,город Белокуриха,2013,21882.0
1704000,город Белокуриха,2014,23767.5
1704000,город Белокуриха,2015,25479.0
1704000,город Белокуриха,2016,26970.1
1705000,город Бийск,2011,15003.6
1705000,город Бийск,2012,17335.4
1705000,город Бийск,2013,19557.8
1705000,город Бийск,2014,20888.2
1705000,город Бийск,2015,21270.1
1705000,город Бийск,2016,22892.6
1706000,город Заринск,2011,18949.4
1706000,город Заринск,2012,21119.3
1706000,город Заринск,2013,22917.9
1706000,город Заринск,2014,24954.8
1706000,город Заринск,2015,26248.4
1706000,город Заринск,2016,28824.8
1710000,город Камень-на-Оби,2011,13260.2
1710000,город Камень-на-Оби,2012,15533.1
1710000,город Камень-на-Оби,2013,17258.4
1710000,город Камень-на-Оби,2014,18749.0
1710000,город Камень-на-Оби,2015,18861.6
1713000,город Новоалтайск,2011,18779.4
1713000,город Новоалтайск,2012,21560.6
1713000,город Новоалтайск,2013,24327.7
1713000,город Новоалтайск,2014,24685.1
1713000,город Новоалтайск,2015,25368.5
1713000,город Новоалтайск,2016,27344.5
1716000,город Рубцовск,2011,14137.0
1716000,город Рубцовск,2012,16281.9
1716000,город Рубцовск,2013,18919.0
1716000,город Рубцовск,2014,20194.6
1716000,город Рубцовск,2015,20002.9
1716000,город Рубцовск,2016,21384.7
1719000,город Славгород,2011,13428.6
1719000,город Славгород,2012,15127.8
1719000,город Славгород,2013,16550.0
1719000,город Славгород,2014,18378.4
1719000,город Славгород,2015,18577.9
1719000,город Славгород,2016,19461.7
1730000,город Яровое,2011,12096.6
1730000,город Яровое,2012,14006.3
1730000,город Яровое,2013,16316.7
1730000,город Яровое,2014,17851.1
1730000,город Яровое,2015,17742.1
1730000,город Яровое,2016,18586.6
1755000,ЗАТО Сибирский,2016,20236.3
3601000,Абинский муниципальный район,2013,19798.0
3601000,Абинский муниципальный район,2014,21348.9
3601000,Абинский муниципальный район,2015,22840.6
3601000,Абинский муниципальный район,2016,25970.2
3605000,Апшеронский муниципальный район,2013,19887.7
3605000,Апшеронский муниципальный район,2014,20835.4
3605000,Апшеронский муниципальный район,2015,21812.2
3605000,Апшеронский муниципальный район,2016,23308.2
3607000,Белоглинский муниципальный район,2013,18104.2
3607000,Белоглинский муниципальный район,2014,20859.7
3607000,Белоглинский муниципальный район,2015,22428.1
3607000,Белоглинский муниципальный район,2016,24691.7
3608000,Белореченский муниципальный район,2013,22816.9
3608000,Белореченский муниципальный район,2014,24277.9
3608000,Белореченский муниципальный район,2015,24531.9
3608000,Белореченский муниципальный район,2016,25948.2
3610000,Брюховецкий муниципальный район,2013,19945.2
3610000,Брюховецкий муниципальный район,2014,21518.0
3610000,Брюховецкий муниципальный район,2015,23235.4
3610000,Брюховецкий муниципальный район,2016,24720.9
3612000,Выселковский муниципальный район,2013,22697.0
3612000,Выселковский муниципальный район,2014,24201.6
3612000,Выселковский муниципальный район,2015,26597.0
3612000,Выселковский муниципальный район,2016,30370.5
3613000,Гулькевичский муниципальный район,2013,20274.6
3613000,Гулькевичский муниципальный район,2014,22032.9
3613000,Гулькевичский муниципальный район,2015,23210.3
3613000,Гулькевичский муниципальный район,2016,24071.9
3614000,Динской муниципальный район,2013,22905.5
3614000,Динской муниципальный район,2014,24452.7
3614000,Динской муниципальный район,2015,25619.4
3614000,Динской муниципальный район,2016,27292.4
3616000,Ейский муниципальный район,2013,19299.7
3616000,Ейский муниципальный район,2014,21477.0
3616000,Ейский муниципальный район,2015,22624.1
3616000,Ейский муниципальный район,2016,24496.8
3618000,Кавказский муниципальный район,2013,21993.6
3618000,Кавказский муниципальный район,2014,23513.1
3618000,Кавказский муниципальный район,2015,24623.5
3618000,Кавказский муниципальный район,2016,25767.7
3619000,Калининский муниципальный район,2013,18192.1
3619000,Калининский муниципальный район,2014,20497.0
3619000,Калининский муниципальный район,2015,21868.1
3619000,Калининский муниципальный район,2016,23229.8
3620000,Каневской муниципальный район,2013,19914.8
3620000,Каневской муниципальный район,2014,21943.7
3620000,Каневской муниципальный район,2015,23874.9
3620000,Каневской муниципальный район,2016,26032.1
3621000,Кореновский муниципальный район,2013,20612.9
3621000,Кореновский муниципальный район,2014,22337.6
3621000,Кореновский муниципальный район,2015,23830.7
3621000,Кореновский муниципальный район,2016,25724.4
3623000,Красноармейский муниципальный район,2013,19912.6
3623000,Красноармейский муниципальный район,2014,21543.2
3623000,Красноармейский муниципальный район,2015,23322.4
3623000,Красноармейский муниципальный район,2016,25446.6
3624000,Крыловский муниципальный район,2013,17782.5
3624000,Крыловский муниципальный район,2014,19791.3
3624000,Крыловский муниципальный район,2015,20776.8
3624000,Крыловский муниципальный район,2016,22016.2
3625000,Крымский муниципальный район,2013,21782.2
3625000,Крымский муниципальный район,2014,26490.0
3625000,Крымский муниципальный район,2015,28674.9
3625000,Крымский муниципальный район,2016,27322.4
3627000,Курганинский муниципальный район,2013,18326.7
3627000,Курганинский муниципальный район,2014,19894.7
3627000,Курганинский муниципальный район,2015,21370.7
3627000,Курганинский муниципальный район,2016,22241.1
3628000,Кущевский муниципальный район,2013,19820.5
3628000,Кущевский муниципальный район,2014,22562.9
3628000,Кущевский муниципальный район,2015,23626.3
3628000,Кущевский муниципальный район,2016,24610.3
3630000,Лабинский муниципальный район,2013,20269.6
3630000,Лабинский муниципальный район,2014,21727.9
3630000,Лабинский муниципальный район,2015,22660.4
3630000,Лабинский муниципальный район,2016,23733.0
3632000,Ленинградский муниципальный район,2013,20339.2
3632000,Ленинградский муниципальный район,2014,22813.6
3632000,Ленинградский муниципальный район,2015,23435.7
3632000,Ленинградский муниципальный район,2016,25037.4
3633000,Мостовский муниципальный район,2013,22196.0
3633000,Мостовский муниципальный район,2014,24194.7
3633000,Мостовский муниципальный район,2015,25215.6
3633000,Мостовский муниципальный район,2016,24818.5
3634000,Новокубанский муниципальный район,2013,18896.7
3634000,Новокубанский муниципальный район,2014,20874.5
3634000,Новокубанский муниципальный район,2015,22292.6
3634000,Новокубанский муниципальный район,2016,24107.8
3635000,Новопокровский муниципальный район,2013,17766.4
3635000,Новопокровский муниципальный район,2014,19976.1
3635000,Новопокровский муниципальный район,2015,21185.3
3635000,Новопокровский муниципальный район,2016,22523.4
3637000,Отрадненский муниципальный район,2013,18189.9
3637000,Отрадненский муниципальный район,2014,20168.8
3637000,Отрадненский муниципальный район,2015,21173.8
3637000,Отрадненский муниципальный район,2016,22552.0
3639000,Павловский муниципальный район,2013,19555.8
3639000,Павловский муниципальный район,2014,21284.9
3639000,Павловский муниципальный район,2015,23127.1
3639000,Павловский муниципальный район,2016,24244.1
3641000,Приморско-Ахтарский муниципальный район,2013,18683.3
3641000,Приморско-Ахтарский муниципальный район,2014,20269.1
3641000,Приморско-Ахтарский муниципальный район,2015,21368.9
3641000,Приморско-Ахтарский муниципальный район,2016,22411.8
3643000,Северский муниципальный район,2013,29075.4
3643000,Северский муниципальный район,2014,29933.0
3643000,Северский муниципальный район,2015,31056.2
3643000,Северский муниципальный район,2016,34808.9
3645000,Славянский муниципальный район,2013,21605.2
3645000,Славянский муниципальный район,2014,23772.6
3645000,Славянский муниципальный район,2015,25293.4
3645000,Славянский муниципальный район,2016,26249.8
3647000,Староминский муниципальный район,2013,19432.8
3647000,Староминский муниципальный район,2014,21101.3
3647000,Староминский муниципальный район,2015,22654.4
3647000,Староминский муниципальный район,2016,24712.8
3649000,Тбилисский муниципальный район,2013,19655.7
3649000,Тбилисский муниципальный район,2014,21704.1
3649000,Тбилисский муниципальный район,2015,22664.4
3649000,Тбилисский муниципальный район,2016,24006.2
3651000,Темрюкский муниципальный район,2013,22995.5
3651000,Темрюкский муниципальный район,2014,27615.2
3651000,Темрюкский муниципальный район,2015,28374.4
3651000,Темрюкский муниципальный район,2016,32676.5
3653000,Тимашевский муниципальный район,2013,24302.0
3653000,Тимашевский муниципальный район,2014,26709.6
3653000,Тимашевский муниципальный район,2015,28630.0
3653000,Тимашевский муниципальный район,2016,30627.0
3654000,Тихорецкий муниципальный район,2013,22185.7
3654000,Тихорецкий муниципальный район,2014,23726.0
3654000,Тихорецкий муниципальный район,2015,24663.6
3654000,Тихорецкий муниципальный район,2016,26114.1
3655000,Туапсинский муниципальный район,2013,26936.8
3655000,Туапсинский муниципальный район,2014,28708.0
3655000,Туапсинский муниципальный район,2015,29853.4
3655000,Туапсинский муниципальный район,2016,32047.9
3656000,Успенский муниципальный район,2013,21303.1
3656000,Успенский муниципальный район,2014,23420.3
3656000,Успенский муниципальный район,2015,25864.5
3656000,Успенский муниципальный район,2016,27919.4
3657000,Усть-Лабинский муниципальный район,2013,22399.7
3657000,Усть-Лабинский муниципальный район,2014,23449.4
3657000,Усть-Лабинский муниципальный район,2015,24423.2
3657000,Усть-Лабинский муниципальный район,2016,26241.8
3659000,Щербиновский муниципальный район,2013,19279.4
3659000,Щербиновский муниципальный район,2014,22203.7
3659000,Щербиновский муниципальный район,2015,23720.4
3659000,Щербиновский муниципальный район,2016,24994.3
3701000,город Краснодар,2013,34434.9
3701000,город Краснодар,2014,37290.0
3701000,город Краснодар,2015,38460.9
3701000,город Краснодар,2016,40229.7
3703000,город-курорт Анапа,2013,22161.8
3703000,город-курорт Анапа,2014,25753.9
3703000,город-курорт Анапа,2015,29129.0
3703000,город-курорт Анапа,2016,28250.5
3705000,город Армавир,2013,20714.2
3705000,город Армавир,2014,21722.1
3705000,город Армавир,2015,22970.2
3705000,город Армавир,2016,24573.3
3708000,город-курорт Геленджик,2013,24864.9
