oktmo,name,year,saldo
3616404,Должанское,2018,10.0
3616407,Ейское,2018,3.0
3616410,Камышеватское,2018,3.0
3616413,Копанское,2018,0.0
3616416,Красноармейское,2018,3.0
3616419,Кухаривское,2018,18.0
3616420,Моревское,2018,10.0
3616421,Трудовое,2018,5.0
3616422,Ясенское,2018,16.0
3618000,Кавказский муниципальный район,2018,7.0
3618101,Кропоткинское,2018,-7.0
3618404,Дмитриевское,2018,5.0
3618407,им М. Горького,2018,2.0
3618410,Кавказское,2018,10.0
3618413,Казанское,2018,-3.0
3618419,Лосевское,2018,5.0
3618422,Мирское,2018,-1.0
3618452,Темижбекское,2018,-2.0
3619000,Калининский муниципальный район,2018,140.0
3619406,Гривенское,2018,13.0
3619407,Гришковское,2018,5.0
3619408,Джумайловское,2018,3.0
3619420,Калининское,2018,45.0
3619422,Куйбышевское,2018,1.0
3619427,Новониколаевское,2018,1.0
3619435,Старовеличковское,2018,49.0
3620000,Каневской муниципальный район,2018,164.0
3620402,Каневское,2018,62.0
3620404,Красногвардейское,2018,3.0
3620405,Кубанскостепное,2018,7.0
3620407,Новодеревянковское,2018,24.0
3620410,Новоминское,2018,43.0
3620413,Привольненское,2018,4.0
3620414,Придорожное,2018,6.0
3620416,Стародеревянковское,2018,14.0
3620419,Челбасское,2018,1.0
3621000,Кореновский муниципальный район,2018,213.0
3621101,Кореновское,2018,139.0
3621402,Братковское,2018,6.0
3621407,Дядьковское,2018,2.0
3621410,Журавское,2018,4.0
3621413,Новоберезанское,2018,3.0
3621419,Платнировское,2018,38.0
3621422,Пролетарское,2018,11.0
3621425,Раздольненское,2018,-1.0
3621428,Сергиевское,2018,1.0
3623000,Красноармейский муниципальный район,2018,223.0
3623407,Ивановское,2018,-1.0
3623410,Полтавское,2018,26.0
3623412,Марьянское,2018,37.0
3623413,Новомышастовское,2018,49.0
3623419,Октябрьское,2018,26.0
3623420,Протичкинское,2018,11.0
3623422,Староджерелиевское,2018,-1.0
3623425,Старонижестеблиевское,2018,17.0
3623428,Трудобеликовское,2018,56.0
3623431,Чебургольское,2018,3.0
3624000,Крыловский муниципальный район,2018,52.0
3624411,Крыловское,2018,10.0
3624414,Кугоейское,2018,8.0
3624418,Новопашковское,2018,6.0
3624421,Новосергиевское,2018,8.0
3624424,Октябрьское,2018,15.0
3625000,Крымский муниципальный район,2018,1023.0
3625101,Крымское,2018,536.0
3625402,Адагумское,2018,44.0
3625404,Варениковское,2018,71.0
3625407,Кеслеровское,2018,24.0
3625410,Киевское,2018,68.0
3625412,Нижнебаканское,2018,54.0
3625413,Пригородное,2018,52.0
3625416,Мерчанское,2018,11.0
3625419,Молдаванское,2018,51.0
3625422,Троицкое,2018,36.0
3625431,Южное,2018,76.0
3627000,Курганинский муниципальный район,2018,55.0
3627101,Курганинское,2018,1.0
3627402,Безводное,2018,4.0
3627404,Воздвиженское,2018,1.0
3627407,Константиновское,2018,4.0
3627410,Михайловское,2018,6.0
3627413,Новоалексеевское,2018,11.0
3627416,Октябрьское,2018,2.0
3627419,Петропавловское,2018,6.0
3627422,Родниковское,2018,9.0
3627425,Темиргоевское,2018,11.0
3628000,Кущевский муниципальный район,2018,160.0
3628404,Ильинское,2018,1.0
3628410,Красносельское,2018,9.0
3628416,Кущевское,2018,72.0
3628422,Первомайское,2018,18.0
3628428,Раздольненское,2018,18.0
3628429,Среднечубуркское,2018,2.0
3630000,Лабинский муниципальный район,2018,62.0
3630101,Лабинское,2018,40.0
3630404,Ахметовское,2018,3.0
3630416,Владимирское,2018,6.0
3630419,Вознесенское,2018,4.0
3630428,Каладжинское,2018,-1.0
3630437,Чамлыкское,2018,-5.0
3630439,Лучевое,2018,4.0
3630446,Первосинюхинское,2018,0.0
3630455,Упорненское,2018,1.0
3630458,Харьковское,2018,2.0
3632000,Ленинградский муниципальный район,2018,-11.0
3632401,Белохуторское,2018,-1.0
3632402,Восточное,2018,0.0
3632403,Коржовское,2018,1.0
3632404,Крыловское,2018,-9.0
3632407,Куликовское,2018,3.0
3632410,Ленинградское,2018,12.0
3632413,Новоплатнировское,2018,-6.0
3632414,Новоуманское,2018,-9.0
3632416,Уманское,2018,-2.0
3632417,Первомайское,2018,1.0
3633000,Мостовский муниципальный район,2018,-29.0
3633151,Мостовское,2018,-4.0
3633156,Псебайское,2018,-12.0
3633407,Баговское,2018,0.0
3633410,Беноковское,2018,-1.0
3633413,Бесленеевское,2018,-4.0
3633422,Губское,2018,1.0
3633434,Краснокутское,2018,0.0
3633440,Махошевское,2018,0.0
3633452,Унароковское,2018,-2.0
3633461,Шедокское,2018,-1.0
3633464,Ярославское,2018,-6.0
3634000,Новокубанский муниципальный район,2018,-81.0
3634101,Новокубанское,2018,-32.0
3634402,Бесскорбненское,2018,-2.0
3634403,Верхнекубанское,2018,0.0
3634407,Ковалевское,2018,-6.0
3634413,Ляпинское,2018,-1.0
3634422,Новосельское,2018,-1.0
3634425,Прикубанское,2018,-10.0
3634428,Прочноокопское,2018,-12.0
3634431,Советское,2018,-17.0
3635000,Новопокровский муниципальный район,2018,34.0
3635407,Калниболотское,2018,12.0
3635410,Кубанское,2018,4.0
3635413,Незамаевское,2018,1.0
3635419,Новопокровское,2018,12.0
3635422,Покровское,2018,-1.0
3637000,Отрадненский муниципальный район,2018,69.0
3637404,Красногвардейское,2018,7.0
3637407,Малотенгинское,2018,3.0
3637413,Отрадненское,2018,36.0
3637416,Передовское,2018,5.0
3637425,Попутненское,2018,4.0
3639000,Павловский муниципальный район,2018,59.0
3639402,Атаманское,2018,1.0
3639404,Веселовское,2018,-1.0
3639410,Незамаевское,2018,-1.0
3639413,Новолеушковское,2018,6.0
3639419,Новопетровское,2018,0.0
3639422,Новопластуновское,2018,-6.0
3639428,Павловское,2018,36.0
3639430,Северное,2018,8.0
3639431,Среднечелбасское,2018,4.0
3639434,Старолеушковское,2018,12.0
3639440,Упорненское,2018,0.0
3641000,Приморско-Ахтарский муниципальный район,2018,59.0
3641101,Приморско-Ахтарское,2018,35.0
3641401,Ахтарское,2018,1.0
3641402,Бородинское,2018,2.0
3641404,Бриньковское,2018,-2.0
3641407,Новопокровское,2018,7.0
3641410,Ольгинское,2018,5.0
3641413,Приазовское,2018,8.0
3641416,Свободное,2018,4.0
3643000,Северский муниципальный район,2018,236.0
3643152,Афипское,2018,36.0
3643155,Ильское,2018,63.0
3643158,Черноморское,2018,15.0
3643402,Азовское,2018,15.0
3643404,Григорьевское,2018,3.0
3643406,Калужское,2018,2.0
3643407,Львовское,2018,17.0
3643408,Михайловское,2018,-2.0
3643410,Новодмитриевское,2018,17.0
3643413,Северское,2018,50.0
3643416,Смоленское,2018,18.0
3645000,Славянский муниципальный район,2018,256.0
3645101,Славянское,2018,168.0
3645401,Ачуевское,2018,2.0
3645402,Анастасиевское,2018,21.0
3645403,Голубая Нива,2018,0.0
3645404,Забойское,2018,5.0
3645407,Кировское,2018,5.0
3645410,Коржевское,2018,6.0
3645412,Маевское,2018,-3.0
3645413,Петровское,2018,4.0
3645414,Прибрежное,2018,17.0
3645416,Протокское,2018,11.0
3645420,Рисовое,2018,4.0
3645425,Целинное,2018,-3.0
3645429,Черноерковское,2018,12.0
3647000,Староминский муниципальный район,2018,0.0
3647402,Канеловское,2018,-5.0
3647404,Куйбышевское,2018,2.0
3647410,Рассветовское,2018,-1.0
3647413,Староминское,2018,5.0
3649000,Тбилисский муниципальный район,2018,108.0
3649401,Алексее-Тенгинское,2018,2.0
3649402,Ванновское,2018,11.0
3649404,Геймановское,2018,5.0
3649410,Марьинское,2018,7.0
3649413,Нововладимировское,2018,6.0
3649416,Песчаное,2018,7.0
3649419,Тбилисское,2018,62.0
3651000,Темрюкский муниципальный район,2018,315.0
3651101,Темрюкское,2018,112.0
3651402,Ахтанизовское,2018,15.0
3651404,Вышестеблиевское,2018,12.0
3651407,Голубицкое,2018,10.0
3651410,Запорожское,2018,12.0
3651413,Краснострельское,2018,12.0
3651416,Курчанское,2018,10.0
3651418,Новотаманское,2018,12.0
3651419,Сенное,2018,21.0
3651422,Старотитаровское,2018,43.0
3651425,Таманское,2018,38.0
3651430,Фонталовское,2018,18.0
3653000,Тимашевский муниципальный район,2018,79.0
3653101,Тимашевское,2018,30.0
3653404,Днепровское,2018,0.0
3653410,Кубанец,2018,1.0
3653413,Медведовское,2018,13.0
3653416,Незаймановское,2018,-1.0
3653419,Новокорсунское,2018,11.0
3653422,Новоленинское,2018,3.0
3653425,Поселковое,2018,0.0
3653428,Роговское,2018,11.0
3654000,Тихорецкий муниципальный район,2018,98.0
3654101,Тихорецкое,2018,55.0
3654402,Алексеевское,2018,10.0
3654404,Архангельское,2018,3.0
3654405,Братское,2018,2.0
3654407,Еремизино-Борисовское,2018,3.0
3654410,Новорождественское,2018,0.0
3654416,Парковское,2018,7.0
3654422,Фастовецкое,2018,5.0
3654425,Хоперское,2018,3.0
3654435,Юго-Северное,2018,5.0
3655000,Туапсинский муниципальный район,2018,423.0
3655101,Туапсинское,2018,193.0
3655154,Джубгское,2018,53.0
3655158,Новомихайловское,2018,55.0
3655402,Небугское,2018,34.0
3655412,Тенгинское,2018,12.0
3655415,Шепсинское,2018,25.0
3656000,Успенский муниципальный район,2018,-3.0
3656410,Коноковское,2018,-2.0
3656416,Маламинское,2018,0.0
3656419,Николаевское,2018,0.0
3657000,Усть-Лабинский муниципальный район,2018,-11.0
3657101,Усть-Лабинское,2018,-11.0
3657402,Александровское,2018,-8.0
3657404,Братское,2018,3.0
3657405,Вимовское,2018,1.0
3657407,Воронежское,2018,0.0
3657413,Железное,2018,1.0
3657416,Кирпильское,2018,4.0
3657419,Ладожское,2018,8.0
3657425,Некрасовское,2018,3.0
3657428,Новолабинское,2018,2.0
3657431,Суворовское,2018,-7.0
3657433,Тенгинское,2018,-1.0
3659000,Щербиновский муниципальный район,2018,-15.0
3659404,Ейскоукрепленское,2018,3.0
3659407,Екатериновское,2018,6.0
3659409,Николаевское,2018,0.0
3659410,Новощербиновское,2018,1.0
3659413,Старощербиновское,2018,-13.0
3659416,Шабельское,2018,-2.0
3659419,Щербиновское,2018,-6.0
3701000,город Краснодар,2018,3637.0
3701364,Западный округ г.Краснодар,2018,498.0
3701369,Центральный округ г.Краснодар,2018,300.0
3701370,Прикубанский округ г.Краснодар,2018,2141.0
3701372,Карасунский округ г.Краснодар,2018,762.0
3703000,город-курорт Анапа,2018,666.0
3705000,город Армавир,2018,94.0
3708000,город-курорт Геленджик,2018,271.0
3709000,город Горячий Ключ,2018,192.0
3720000,город Новороссийск,2018,689.0
3720365,Восточный район г.Новороссийск,2018,138.0
3720368,Центральный район г.Новороссийск,2018,-60.0
3720370,Приморский район г.Новороссийск,2018,111.0
3720380,Южный район г.Новороссийск,2018,187.0
3726000,город-курорт Сочи,2018,1425.0
3726362,Адлерский район,2018,-26.0
3726365,Лазаревский район,2018,95.0
3726368,Хостинский район,2018,295.0
3726371,Центральный район,2018,890.0
4601000,Абанский муниципальный район,2018,-8.0
4601401,Абанский сельсовет,2018,-8.0
4601446,Устьянский сельсовет,2018,2.0
4603000,Ачинский муниципальный район,2018,-4.0
4603404,Преображенский сельсовет,2018,4.0
4603407,Горный сельсовет,2018,2.0
4603410,Ключинский сельсовет,2018,-10.0
4603414,Малиновский сельсовет,2018,-1.0
4603428,Ястребовский сельсовет,2018,-3.0
4604000,Балахтинский муниципальный район,2018,-11.0
4604405,Кожановский сельсовет,2018,0.0
4604413,Приморский сельсовет,2018,-2.0
4605000,Березовский муниципальный район,2018,62.0
4605151,поселок Березовка,2018,28.0
4605402,Бархатовский сельсовет,2018,-5.0
4605405,Вознесенский сельсовет,2018,10.0
4605416,Есаульский сельсовет,2018,27.0
4605420,Зыковский сельсовет,2018,-1.0
4605425,Маганский сельсовет,2018,3.0
4606000,Бирилюсский муниципальный район,2018,-4.0
4606416,Новобирилюсский сельсовет,2018,-3.0
4608000,Боготольский муниципальный район,2018,2.0
4608404,Боготольский сельсовет,2018,2.0
4608419,Чайковский сельсовет,2018,2.0
4609000,Богучанский муниципальный район,2018,-83.0
4609410,Богучанский сельсовет,2018,181.0
4609423,Новохайский сельсовет,2018,-9.0
4609428,Пинчугский сельсовет,2018,-2.0
4609430,Таежнинский сельсовет,2018,-102.0
4609434,Чуноярский сельсовет,2018,-23.0
4609440,Шиверский сельсовет,2018,0.0
4609445,Октябрьский сельсовет,2018,8.0
4610000,Большемуртинский муниципальный район,2018,-14.0
4610151,поселок Большая Мурта,2018,-8.0
4610404,Бартатский сельсовет,2018,0.0
4610407,Верх-Казанский сельсовет,2018,-2.0
4610416,Межовский сельсовет,2018,-1.0
4610425,Юксеевский сельсовет,2018,0.0
4613000,Дзержинский муниципальный район,2018,-6.0
4613410,Дзержинский сельсовет,2018,-5.0
4614000,Емельяновский муниципальный район,2018,762.0
4614151,поселок Емельяново,2018,70.0
4614404,Элитовский сельсовет,2018,81.0
4614410,Гаревский сельсовет,2018,-8.0
4614413,Еловский сельсовет,2018,3.0
4614418,Зеледеевский сельсовет,2018,3.0
4614428,Мининский сельсовет,2018,44.0
4614434,Никольский сельсовет,2018,18.0
