oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
60627000,Куйбышевский муниципальный район,female,2011,0.05612,0.04938,0.04938,0.04504,0.07263,0.0803,0.07275,0.0705,0.07263,0.08496,0.1614,0.0848,0.0652,0.03497
60627000,Куйбышевский муниципальный район,male,2011,0.06305,0.0518,0.05392,0.04715,0.0782,0.08856,0.0748,0.0688,0.06995,0.0854,0.1512,0.08,0.06143,0.02567
60630000,Мартыновский муниципальный район,female,2011,0.07074,0.0694,0.0657,0.0566,0.0721,0.0742,0.0685,0.0694,0.0711,0.08545,0.135,0.0708,0.05496,0.03616
60630000,Мартыновский муниципальный район,male,2011,0.0794,0.07654,0.07306,0.05875,0.07935,0.07654,0.0713,0.0702,0.0718,0.08545,0.1298,0.06134,0.04138,0.02516
60631000,Матвеево-Курганский муниципальный район,female,2011,0.05713,0.05246,0.05197,0.0568,0.0779,0.0765,0.06696,0.07135,0.06976,0.0846,0.1489,0.0792,0.06537,0.04117
60631000,Матвеево-Курганский муниципальный район,male,2011,0.06604,0.05673,0.05887,0.0633,0.0829,0.08093,0.07605,0.069,0.0709,0.0855,0.1388,0.07324,0.05365,0.0241
60632000,Миллеровский муниципальный район,female,2011,0.05557,0.0474,0.04605,0.05713,0.07306,0.08374,0.0724,0.071,0.06744,0.0837,0.1508,0.08295,0.0664,0.04242
60632000,Миллеровский муниципальный район,male,2011,0.0626,0.05627,0.0541,0.0687,0.0819,0.0874,0.0756,0.0741,0.07166,0.0814,0.1354,0.0691,0.0557,0.026
60633000,Милютинский муниципальный район,female,2011,0.0531,0.05026,0.05014,0.0531,0.06714,0.067,0.06104,0.07166,0.07306,0.1017,0.1609,0.08527,0.064,0.04163
60633000,Милютинский муниципальный район,male,2011,0.05624,0.0552,0.05682,0.05844,0.07715,0.07965,0.0682,0.068,0.0682,0.0979,0.1589,0.07446,0.0555,0.02531
60634000,Морозовский муниципальный район,female,2011,0.05576,0.05438,0.05148,0.047,0.0678,0.07635,0.07886,0.0735,0.07404,0.08215,0.153,0.08014,0.0668,0.0388
60634000,Морозовский муниципальный район,male,2011,0.06525,0.0595,0.05844,0.0599,0.08606,0.0776,0.0785,0.0699,0.073,0.0838,0.138,0.07294,0.05493,0.02226
60635000,Мясниковский муниципальный район,female,2011,0.05872,0.05286,0.04773,0.06165,0.08496,0.0885,0.07446,0.0723,0.06995,0.0845,0.1414,0.07556,0.05368,0.03384
60635000,Мясниковский муниципальный район,male,2011,0.068,0.0576,0.0555,0.0701,0.0909,0.0895,0.07825,0.06995,0.07,0.0834,0.1298,0.0677,0.04623,0.02316
60636000,Неклиновский муниципальный район,female,2011,0.05167,0.04846,0.04895,0.05685,0.0713,0.0732,0.0677,0.0694,0.0657,0.07886,0.1583,0.0885,0.0757,0.04538
60636000,Неклиновский муниципальный район,male,2011,0.05927,0.05423,0.05298,0.05957,0.0762,0.0816,0.0752,0.0728,0.0707,0.0785,0.1465,0.07764,0.06207,0.03275
60640000,Обливский муниципальный район,female,2011,0.0559,0.04996,0.043,0.06165,0.0806,0.0838,0.0685,0.07104,0.0676,0.08435,0.147,0.0795,0.06506,0.04202
60640000,Обливский муниципальный район,male,2011,0.05856,0.0572,0.0566,0.0661,0.0873,0.0856,0.06665,0.074,0.0678,0.0873,0.1385,0.07776,0.05008,0.02664
60641000,Октябрьский муниципальный район,female,2011,0.05725,0.04956,0.04764,0.079,0.0967,0.0817,0.07166,0.0688,0.06097,0.07513,0.142,0.07416,0.0604,0.0351
60641000,Октябрьский муниципальный район,male,2011,0.05615,0.05328,0.0491,0.11237,0.1414,0.08575,0.0733,0.06476,0.05817,0.0668,0.1151,0.05875,0.0445,0.02058
60642000,Орловский муниципальный район,female,2011,0.05637,0.0596,0.05862,0.0491,0.0762,0.08356,0.077,0.07135,0.07043,0.0825,0.144,0.0776,0.05768,0.03592
60642000,Орловский муниципальный район,male,2011,0.0614,0.06256,0.0636,0.0596,0.07654,0.0892,0.08136,0.07465,0.0696,0.0813,0.1393,0.0709,0.0474,0.02263
60644000,Песчанокопский муниципальный район,female,2011,0.05234,0.05096,0.04898,0.05673,0.0682,0.07153,0.072,0.07263,0.0725,0.08826,0.1503,0.0767,0.07007,0.04886
60644000,Песчанокопский муниципальный район,male,2011,0.0568,0.06094,0.05908,0.05334,0.0702,0.0764,0.0778,0.0743,0.0774,0.0918,0.1454,0.072,0.05615,0.02837
60645000,Пролетарский муниципальный район,female,2011,0.0676,0.05634,0.05453,0.06274,0.085,0.081,0.07227,0.07214,0.06238,0.0754,0.137,0.0748,0.06046,0.03827
60645000,Пролетарский муниципальный район,male,2011,0.07086,0.06274,0.05972,0.06903,0.08844,0.0872,0.0764,0.07135,0.0682,0.07574,0.1293,0.0689,0.04828,0.02386
60647000,Ремонтненский муниципальный район,female,2011,0.0616,0.06085,0.05917,0.05164,0.0722,0.08325,0.0717,0.0679,0.06464,0.08875,0.1493,0.0789,0.05807,0.0321
60647000,Ремонтненский муниципальный район,male,2011,0.06934,0.06064,0.06836,0.04837,0.0768,0.07367,0.0699,0.0712,0.06866,0.0846,0.148,0.0779,0.05777,0.02484
60648000,Родионово-Несветайский муниципальный район,female,2011,0.05478,0.05258,0.05197,0.0552,0.0773,0.077,0.068,0.0721,0.069,0.0798,0.1539,0.0836,0.06396,0.04086
60648000,Родионово-Несветайский муниципальный район,male,2011,0.0627,0.05795,0.05405,0.06082,0.08386,0.0849,0.0782,0.07306,0.0712,0.0782,0.1416,0.0716,0.0546,0.0273
60650000,Сальский муниципальный район,female,2011,0.05777,0.05325,0.05243,0.05905,0.06805,0.0745,0.0715,0.0737,0.0695,0.0827,0.15,0.0785,0.0671,0.04193
60650000,Сальский муниципальный район,male,2011,0.06616,0.06287,0.05908,0.0707,0.07605,0.08136,0.07306,0.0739,0.0707,0.0826,0.135,0.0698,0.05365,0.025
60651000,Семикаракорский муниципальный район,female,2011,0.06042,0.05408,0.0538,0.05243,0.06854,0.07605,0.06805,0.0737,0.0673,0.08167,0.1517,0.08386,0.06555,0.0428
60651000,Семикаракорский муниципальный район,male,2011,0.06757,0.06186,0.0598,0.05804,0.07513,0.0803,0.0746,0.07336,0.06744,0.08606,0.1415,0.0757,0.0523,0.02638
60652000,Советский муниципальный район,female,2011,0.06824,0.0529,0.0582,0.07355,0.087,0.08167,0.06476,0.0751,0.06946,0.07227,0.1357,0.06976,0.05914,0.03223
60652000,Советский муниципальный район,male,2011,0.0696,0.0602,0.05438,0.06995,0.0877,0.0871,0.0709,0.0728,0.0696,0.0764,0.1356,0.07184,0.05115,0.02266
60653000,Тарасовский муниципальный район,female,2011,0.05267,0.05017,0.05368,0.06146,0.07367,0.0726,0.0703,0.0657,0.07214,0.0864,0.1517,0.0763,0.06854,0.04456
60653000,Тарасовский муниципальный район,male,2011,0.06146,0.0598,0.05847,0.0656,0.0783,0.0818,0.0681,0.06586,0.0693,0.09,0.1447,0.07324,0.053,0.03043
60654000,Тацинский муниципальный район,female,2011,0.0541,0.05063,0.05112,0.05212,0.0715,0.0755,0.07495,0.0742,0.06836,0.0829,0.1581,0.08246,0.06464,0.03946
60654000,Тацинский муниципальный район,male,2011,0.05966,0.05505,0.0604,0.05377,0.0774,0.0841,0.0766,0.0736,0.0709,0.0852,0.1484,0.0763,0.0539,0.02472
