oktmo,name,year,musartschool
1617424,Ключевский сельсовет,2010,2.0
1617424,Ключевский сельсовет,2011,2.0
1617424,Ключевский сельсовет,2012,2.0
1617424,Ключевский сельсовет,2013,2.0
1617424,Ключевский сельсовет,2014,2.0
1617424,Ключевский сельсовет,2015,2.0
1617424,Ключевский сельсовет,2016,2.0
1617424,Ключевский сельсовет,2017,1.0
1618000,Косихинский муниципальный район,2007,2.0
1618000,Косихинский муниципальный район,2008,2.0
1618000,Косихинский муниципальный район,2009,2.0
1618000,Косихинский муниципальный район,2010,2.0
1618000,Косихинский муниципальный район,2011,3.0
1618000,Косихинский муниципальный район,2012,3.0
1618000,Косихинский муниципальный район,2013,3.0
1618000,Косихинский муниципальный район,2014,3.0
1618000,Косихинский муниципальный район,2015,3.0
1618000,Косихинский муниципальный район,2016,1.0
1618000,Косихинский муниципальный район,2017,1.0
1618430,Контошинский сельсовет,2011,1.0
1618430,Контошинский сельсовет,2012,1.0
1618430,Контошинский сельсовет,2013,1.0
1618430,Контошинский сельсовет,2014,1.0
1618430,Контошинский сельсовет,2015,1.0
1618434,Косихинский сельсовет,2007,1.0
1618434,Косихинский сельсовет,2008,1.0
1618434,Косихинский сельсовет,2009,1.0
1618434,Косихинский сельсовет,2010,1.0
1618434,Косихинский сельсовет,2011,1.0
1618434,Косихинский сельсовет,2012,1.0
1618434,Косихинский сельсовет,2013,1.0
1618434,Косихинский сельсовет,2014,1.0
1618434,Косихинский сельсовет,2015,1.0
1618460,Налобихинский сельсовет,2007,1.0
1618460,Налобихинский сельсовет,2008,1.0
1618460,Налобихинский сельсовет,2009,1.0
1618460,Налобихинский сельсовет,2010,1.0
1618460,Налобихинский сельсовет,2011,1.0
1618460,Налобихинский сельсовет,2012,1.0
1618460,Налобихинский сельсовет,2013,1.0
1618460,Налобихинский сельсовет,2014,1.0
1618460,Налобихинский сельсовет,2015,1.0
1618460,Налобихинский сельсовет,2016,1.0
1618460,Налобихинский сельсовет,2017,1.0
1619000,Красногорский муниципальный район,2007,1.0
1619000,Красногорский муниципальный район,2008,1.0
1619000,Красногорский муниципальный район,2009,1.0
1619000,Красногорский муниципальный район,2010,1.0
1619000,Красногорский муниципальный район,2011,1.0
1619000,Красногорский муниципальный район,2012,1.0
1619000,Красногорский муниципальный район,2013,1.0
1619000,Красногорский муниципальный район,2014,1.0
1619000,Красногорский муниципальный район,2015,1.0
1619000,Красногорский муниципальный район,2016,1.0
1619000,Красногорский муниципальный район,2017,1.0
1619423,Красногорский сельсовет,2007,1.0
1619423,Красногорский сельсовет,2008,1.0
1619423,Красногорский сельсовет,2009,1.0
1619423,Красногорский сельсовет,2010,1.0
1619423,Красногорский сельсовет,2011,1.0
1619423,Красногорский сельсовет,2012,1.0
