oktmo,name,year,docsnum
1616486,Столбовский сельсовет,2008,4.0
1616486,Столбовский сельсовет,2009,2.0
1616486,Столбовский сельсовет,2010,2.0
1616486,Столбовский сельсовет,2011,1.0
1616486,Столбовский сельсовет,2012,1.0
1616486,Столбовский сельсовет,2013,1.0
1617000,Ключевский муниципальный район,2008,35.0
1617000,Ключевский муниципальный район,2009,36.0
1617000,Ключевский муниципальный район,2010,34.0
1617000,Ключевский муниципальный район,2011,36.0
1617000,Ключевский муниципальный район,2012,37.0
1617000,Ключевский муниципальный район,2013,37.0
1617415,Истимисский сельсовет,2008,1.0
1617415,Истимисский сельсовет,2013,1.0
1617424,Ключевский сельсовет,2008,31.0
1617424,Ключевский сельсовет,2009,33.0
1617424,Ключевский сельсовет,2010,33.0
1617424,Ключевский сельсовет,2011,33.0
1617424,Ключевский сельсовет,2012,34.0
1617424,Ключевский сельсовет,2013,33.0
1617435,Новополтавский сельсовет,2008,1.0
1617435,Новополтавский сельсовет,2009,1.0
1617435,Новополтавский сельсовет,2010,1.0
1617435,Новополтавский сельсовет,2011,1.0
1617435,Новополтавский сельсовет,2012,1.0
1617435,Новополтавский сельсовет,2013,1.0
1617446,Петуховский сельсовет,2008,2.0
1617446,Петуховский сельсовет,2009,2.0
1617446,Петуховский сельсовет,2011,2.0
1617446,Петуховский сельсовет,2012,2.0
1617446,Петуховский сельсовет,2013,2.0
1618000,Косихинский муниципальный район,2008,46.0
1618000,Косихинский муниципальный район,2009,45.0
1618000,Косихинский муниципальный район,2010,44.0
1618000,Косихинский муниципальный район,2011,43.0
1618000,Косихинский муниципальный район,2012,47.0
1618000,Косихинский муниципальный район,2013,43.0
1618406,Баюновский сельсовет,2008,2.0
1618406,Баюновский сельсовет,2009,2.0
1618406,Баюновский сельсовет,2010,2.0
1618406,Баюновский сельсовет,2011,1.0
1618406,Баюновский сельсовет,2012,3.0
1618406,Баюновский сельсовет,2013,3.0
1618430,Контошинский сельсовет,2008,1.0
1618430,Контошинский сельсовет,2009,1.0
1618430,Контошинский сельсовет,2010,1.0
1618430,Контошинский сельсовет,2011,1.0
1618430,Контошинский сельсовет,2012,2.0
1618430,Контошинский сельсовет,2013,2.0
1618434,Косихинский сельсовет,2008,37.0
1618434,Косихинский сельсовет,2009,34.0
1618434,Косихинский сельсовет,2010,34.0
1618434,Косихинский сельсовет,2011,34.0
1618434,Косихинский сельсовет,2012,33.0
1618434,Косихинский сельсовет,2013,32.0
1618440,Лосихинский сельсовет,2008,1.0
1618440,Лосихинский сельсовет,2009,1.0
1618440,Лосихинский сельсовет,2010,2.0
1618440,Лосихинский сельсовет,2011,2.0
1618440,Лосихинский сельсовет,2012,2.0
1618440,Лосихинский сельсовет,2013,2.0
1618460,Налобихинский сельсовет,2008,5.0
1618460,Налобихинский сельсовет,2009,7.0
1618460,Налобихинский сельсовет,2010,5.0
1618460,Налобихинский сельсовет,2011,5.0
1618460,Налобихинский сельсовет,2012,7.0
1618460,Налобихинский сельсовет,2013,4.0
