oktmo,name,year,goodcompincome
1642000,Советский муниципальный район,2016,286503.0
1642000,Советский муниципальный район,2017,89219.0
1642000,Советский муниципальный район,2018,55576.0
1642000,Советский муниципальный район,2019,220442.0
1642000,Советский муниципальный район,2020,404874.0
1642000,Советский муниципальный район,2021,788619.0
1642000,Советский муниципальный район,2022,801891.0
1642452,Советский сельсовет,2016,134803.0
1643000,Солонешенский муниципальный район,2009,4239.0
1643000,Солонешенский муниципальный район,2010,5187.0
1643000,Солонешенский муниципальный район,2011,13589.0
1643000,Солонешенский муниципальный район,2012,12890.0
1643000,Солонешенский муниципальный район,2013,11027.0
1644000,Солтонский муниципальный район,2009,2623.0
1644000,Солтонский муниципальный район,2010,8869.0
1644000,Солтонский муниципальный район,2011,10664.0
1644000,Солтонский муниципальный район,2012,6055.0
1644000,Солтонский муниципальный район,2013,250.0
1645000,Шелаболихинский муниципальный район,2009,106387.0
1645000,Шелаболихинский муниципальный район,2010,153339.0
1645000,Шелаболихинский муниципальный район,2011,149651.0
1645000,Шелаболихинский муниципальный район,2012,48300.0
1645000,Шелаболихинский муниципальный район,2013,97558.0
1645000,Шелаболихинский муниципальный район,2014,146012.0
1645000,Шелаболихинский муниципальный район,2015,148070.0
1645000,Шелаболихинский муниципальный район,2016,228305.0
1645000,Шелаболихинский муниципальный район,2017,138271.0
1645000,Шелаболихинский муниципальный район,2018,91409.0
1645000,Шелаболихинский муниципальный район,2019,108057.0
1645000,Шелаболихинский муниципальный район,2020,161394.0
1645000,Шелаболихинский муниципальный район,2021,316988.0
1645000,Шелаболихинский муниципальный район,2022,423620.0
1646000,Табунский муниципальный район,2009,20423.0
1646000,Табунский муниципальный район,2010,51372.0
1646000,Табунский муниципальный район,2011,39283.0
1646000,Табунский муниципальный район,2012,37747.0
1646000,Табунский муниципальный район,2013,72371.0
1646000,Табунский муниципальный район,2014,39465.0
1646000,Табунский муниципальный район,2015,29917.0
1646000,Табунский муниципальный район,2016,86464.0
1646000,Табунский муниципальный район,2017,67223.0
1646000,Табунский муниципальный район,2018,93223.0
1646000,Табунский муниципальный район,2021,67447.0
1646466,Табунский сельсовет,2016,72834.0
1647000,Тальменский муниципальный район,2009,74043.0
1647000,Тальменский муниципальный район,2010,36536.0
1647000,Тальменский муниципальный район,2011,43561.0
1647000,Тальменский муниципальный район,2012,95801.0
1647000,Тальменский муниципальный район,2013,78476.0
1647000,Тальменский муниципальный район,2014,170457.0
1647000,Тальменский муниципальный район,2015,143522.0
1647000,Тальменский муниципальный район,2016,103505.0
1647000,Тальменский муниципальный район,2018,238791.0
1647000,Тальменский муниципальный район,2019,71942.0
1647000,Тальменский муниципальный район,2020,275530.0
1647000,Тальменский муниципальный район,2021,789284.0
1647000,Тальменский муниципальный район,2022,450742.0
1647151,Тальменский поссовет,2016,826.0
1648000,Тогульский муниципальный район,2009,64970.0
1648000,Тогульский муниципальный район,2010,81267.0
1648000,Тогульский муниципальный район,2011,69842.0
1648000,Тогульский муниципальный район,2012,67666.0
1648000,Тогульский муниципальный район,2013,66099.0
1648000,Тогульский муниципальный район,2014,159641.0
1648000,Тогульский муниципальный район,2015,153074.0
1648000,Тогульский муниципальный район,2016,97988.0
1649000,Топчихинский муниципальный район,2009,28775.0
1649000,Топчихинский муниципальный район,2010,102121.0
1649000,Топчихинский муниципальный район,2011,101893.0
1649000,Топчихинский муниципальный район,2012,43303.0
1649000,Топчихинский муниципальный район,2013,114780.0
1649000,Топчихинский муниципальный район,2014,46730.0
1649000,Топчихинский муниципальный район,2015,56819.0
1649000,Топчихинский муниципальный район,2016,92536.0
1649000,Топчихинский муниципальный район,2017,113204.0
1649000,Топчихинский муниципальный район,2018,101026.0
1649000,Топчихинский муниципальный район,2019,163475.0
1649000,Топчихинский муниципальный район,2020,273281.0
1649000,Топчихинский муниципальный район,2021,396120.0
1649000,Топчихинский муниципальный район,2022,464610.0
1650000,Третьяковский муниципальный район,2009,51700.0
1650000,Третьяковский муниципальный район,2010,180441.0
1650000,Третьяковский муниципальный район,2011,119330.0
1650000,Третьяковский муниципальный район,2012,112366.0
1650000,Третьяковский муниципальный район,2013,137926.0
1650000,Третьяковский муниципальный район,2014,188997.0
1650000,Третьяковский муниципальный район,2015,328968.0
1650000,Третьяковский муниципальный район,2016,216893.0
1650000,Третьяковский муниципальный район,2017,129478.0
1650000,Третьяковский муниципальный район,2018,103075.0
1650000,Третьяковский муниципальный район,2019,129364.0
1650000,Третьяковский муниципальный район,2020,191691.0
1650000,Третьяковский муниципальный район,2021,329091.0
1650000,Третьяковский муниципальный район,2022,391205.0
1651000,Троицкий муниципальный район,2009,9577.0
1651000,Троицкий муниципальный район,2010,2587.0
1651000,Троицкий муниципальный район,2011,5613.0
1651000,Троицкий муниципальный район,2012,35172.0
1651000,Троицкий муниципальный район,2013,3811.0
1651000,Троицкий муниципальный район,2014,3301.0
1652000,Тюменцевский муниципальный район,2009,24280.0
1652000,Тюменцевский муниципальный район,2010,60627.0
1652000,Тюменцевский муниципальный район,2011,43191.0
1652000,Тюменцевский муниципальный район,2012,15815.0
1652000,Тюменцевский муниципальный район,2013,1150.0
1652000,Тюменцевский муниципальный район,2014,3106.0
1652000,Тюменцевский муниципальный район,2015,1587.0
1652000,Тюменцевский муниципальный район,2016,20994.0
1652000,Тюменцевский муниципальный район,2017,1385.0
1652000,Тюменцевский муниципальный район,2022,74883.0
1652458,Тюменцевский сельсовет,2016,2072.0
1653000,Угловский муниципальный район,2009,71750.0
1653000,Угловский муниципальный район,2010,88413.0
