oktmo,name,year,visiblecompanies
1632000,Первомайский муниципальный район,2014,7.0
1632000,Первомайский муниципальный район,2015,7.0
1632000,Первомайский муниципальный район,2016,8.0
1632000,Первомайский муниципальный район,2017,9.0
1632000,Первомайский муниципальный район,2018,8.0
1632000,Первомайский муниципальный район,2019,5.0
1632000,Первомайский муниципальный район,2020,6.0
1632000,Первомайский муниципальный район,2021,6.0
1632000,Первомайский муниципальный район,2022,8.0
1633000,Петропавловский муниципальный район,2009,2.0
1633000,Петропавловский муниципальный район,2010,2.0
1633000,Петропавловский муниципальный район,2011,3.0
1633000,Петропавловский муниципальный район,2012,3.0
1633000,Петропавловский муниципальный район,2013,4.0
1633000,Петропавловский муниципальный район,2014,4.0
1633000,Петропавловский муниципальный район,2018,3.0
1633000,Петропавловский муниципальный район,2019,3.0
1633000,Петропавловский муниципальный район,2020,3.0
1633000,Петропавловский муниципальный район,2021,3.0
1633000,Петропавловский муниципальный район,2022,3.0
1634000,Поспелихинский муниципальный район,2009,23.0
1634000,Поспелихинский муниципальный район,2010,24.0
1634000,Поспелихинский муниципальный район,2011,19.0
1634000,Поспелихинский муниципальный район,2012,19.0
1634000,Поспелихинский муниципальный район,2013,17.0
1634000,Поспелихинский муниципальный район,2014,15.0
1634000,Поспелихинский муниципальный район,2015,14.0
1634000,Поспелихинский муниципальный район,2016,15.0
1634000,Поспелихинский муниципальный район,2017,12.0
1634000,Поспелихинский муниципальный район,2018,13.0
1634000,Поспелихинский муниципальный район,2019,14.0
1634000,Поспелихинский муниципальный район,2020,13.0
1634000,Поспелихинский муниципальный район,2021,13.0
1634000,Поспелихинский муниципальный район,2022,13.0
1634495,Поспелихинский Центральный сельсовет,2016,8.0
1635000,Ребрихинский муниципальный район,2009,5.0
1635000,Ребрихинский муниципальный район,2010,4.0
1635000,Ребрихинский муниципальный район,2011,8.0
1635000,Ребрихинский муниципальный район,2012,10.0
1635000,Ребрихинский муниципальный район,2013,9.0
1635000,Ребрихинский муниципальный район,2014,9.0
1635000,Ребрихинский муниципальный район,2015,6.0
1635000,Ребрихинский муниципальный район,2016,5.0
1635000,Ребрихинский муниципальный район,2017,5.0
1635000,Ребрихинский муниципальный район,2018,3.0
1635000,Ребрихинский муниципальный район,2019,4.0
1635000,Ребрихинский муниципальный район,2020,4.0
1635000,Ребрихинский муниципальный район,2021,6.0
1635000,Ребрихинский муниципальный район,2022,6.0
1636000,Родинский муниципальный район,2009,12.0
1636000,Родинский муниципальный район,2010,11.0
1636000,Родинский муниципальный район,2011,11.0
1636000,Родинский муниципальный район,2012,10.0
1636000,Родинский муниципальный район,2013,9.0
1636000,Родинский муниципальный район,2014,9.0
1636000,Родинский муниципальный район,2015,8.0
1636000,Родинский муниципальный район,2016,7.0
1636000,Родинский муниципальный район,2017,6.0
1636000,Родинский муниципальный район,2018,7.0
1636000,Родинский муниципальный район,2019,5.0
1636000,Родинский муниципальный район,2020,4.0
1636000,Родинский муниципальный район,2021,3.0
1636000,Родинский муниципальный район,2022,3.0
1637000,Романовский муниципальный район,2009,13.0
1637000,Романовский муниципальный район,2010,12.0
1637000,Романовский муниципальный район,2011,11.0
1637000,Романовский муниципальный район,2012,8.0
1637000,Романовский муниципальный район,2013,7.0
1637000,Романовский муниципальный район,2014,7.0
1637000,Романовский муниципальный район,2015,8.0
1637000,Романовский муниципальный район,2016,7.0
1637000,Романовский муниципальный район,2017,6.0
1637000,Романовский муниципальный район,2018,8.0
1637000,Романовский муниципальный район,2019,5.0
1637000,Романовский муниципальный район,2020,7.0
1637000,Романовский муниципальный район,2021,5.0
1637000,Романовский муниципальный район,2022,5.0
1637468,Романовский сельсовет,2016,5.0
1638000,Рубцовский муниципальный район,2009,18.0
1638000,Рубцовский муниципальный район,2010,16.0
1638000,Рубцовский муниципальный район,2011,15.0
1638000,Рубцовский муниципальный район,2012,12.0
1638000,Рубцовский муниципальный район,2013,12.0
1638000,Рубцовский муниципальный район,2014,8.0
1638000,Рубцовский муниципальный район,2015,8.0
1638000,Рубцовский муниципальный район,2016,7.0
1638000,Рубцовский муниципальный район,2017,6.0
1638000,Рубцовский муниципальный район,2018,6.0
1638000,Рубцовский муниципальный район,2019,7.0
1638000,Рубцовский муниципальный район,2020,6.0
1638000,Рубцовский муниципальный район,2021,9.0
1638000,Рубцовский муниципальный район,2022,9.0
1639000,Славгородский муниципальный район,2009,7.0
1639000,Славгородский муниципальный район,2010,7.0
1639000,Славгородский муниципальный район,2011,7.0
1640000,Смоленский муниципальный район,2009,12.0
1640000,Смоленский муниципальный район,2010,12.0
1640000,Смоленский муниципальный район,2011,10.0
1640000,Смоленский муниципальный район,2012,10.0
1640000,Смоленский муниципальный район,2013,10.0
1640000,Смоленский муниципальный район,2014,10.0
1640000,Смоленский муниципальный район,2015,8.0
1640000,Смоленский муниципальный район,2016,6.0
1640000,Смоленский муниципальный район,2017,5.0
1640000,Смоленский муниципальный район,2018,4.0
1640000,Смоленский муниципальный район,2020,5.0
1640000,Смоленский муниципальный район,2021,3.0
1640000,Смоленский муниципальный район,2022,5.0
1641000,Суетский муниципальный район,2009,2.0
1641000,Суетский муниципальный район,2010,3.0
1641000,Суетский муниципальный район,2011,3.0
1641000,Суетский муниципальный район,2012,4.0
1641000,Суетский муниципальный район,2013,4.0
1641000,Суетский муниципальный район,2014,4.0
1641000,Суетский муниципальный район,2015,4.0
1641000,Суетский муниципальный район,2016,3.0
1641000,Суетский муниципальный район,2017,3.0
1641000,Суетский муниципальный район,2018,3.0
1641000,Суетский муниципальный район,2019,5.0
1641000,Суетский муниципальный район,2020,5.0
1641000,Суетский муниципальный район,2021,4.0
1641000,Суетский муниципальный район,2022,5.0
1642000,Советский муниципальный район,2009,13.0
1642000,Советский муниципальный район,2010,13.0
1642000,Советский муниципальный район,2011,14.0
1642000,Советский муниципальный район,2012,11.0
1642000,Советский муниципальный район,2013,11.0
1642000,Советский муниципальный район,2014,10.0
1642000,Советский муниципальный район,2015,9.0
1642000,Советский муниципальный район,2016,7.0
1642000,Советский муниципальный район,2017,7.0
1642000,Советский муниципальный район,2018,5.0
1642000,Советский муниципальный район,2019,6.0
1642000,Советский муниципальный район,2020,6.0
1642000,Советский муниципальный район,2021,6.0
1642000,Советский муниципальный район,2022,6.0
1642452,Советский сельсовет,2016,4.0
1643000,Солонешенский муниципальный район,2009,9.0
1643000,Солонешенский муниципальный район,2010,6.0
1643000,Солонешенский муниципальный район,2011,5.0
1643000,Солонешенский муниципальный район,2012,5.0
1643000,Солонешенский муниципальный район,2013,3.0
1644000,Солтонский муниципальный район,2009,3.0
1644000,Солтонский муниципальный район,2010,2.0
1644000,Солтонский муниципальный район,2011,2.0
1644000,Солтонский муниципальный район,2012,2.0
1644000,Солтонский муниципальный район,2013,1.0
1645000,Шелаболихинский муниципальный район,2009,11.0
1645000,Шелаболихинский муниципальный район,2010,12.0
1645000,Шелаболихинский муниципальный район,2011,12.0
1645000,Шелаболихинский муниципальный район,2012,9.0
1645000,Шелаболихинский муниципальный район,2013,9.0
1645000,Шелаболихинский муниципальный район,2014,9.0
1645000,Шелаболихинский муниципальный район,2015,6.0
1645000,Шелаболихинский муниципальный район,2016,6.0
1645000,Шелаболихинский муниципальный район,2017,7.0
1645000,Шелаболихинский муниципальный район,2018,5.0
1645000,Шелаболихинский муниципальный район,2019,5.0
1645000,Шелаболихинский муниципальный район,2020,6.0
1645000,Шелаболихинский муниципальный район,2021,6.0
1645000,Шелаболихинский муниципальный район,2022,7.0
1646000,Табунский муниципальный район,2009,9.0
1646000,Табунский муниципальный район,2010,9.0
1646000,Табунский муниципальный район,2011,8.0
1646000,Табунский муниципальный район,2012,6.0
1646000,Табунский муниципальный район,2013,5.0
1646000,Табунский муниципальный район,2014,5.0
1646000,Табунский муниципальный район,2015,3.0
1646000,Табунский муниципальный район,2016,4.0
1646000,Табунский муниципальный район,2017,4.0
1646000,Табунский муниципальный район,2018,5.0
1646000,Табунский муниципальный район,2020,4.0
1646000,Табунский муниципальный район,2021,4.0
1646000,Табунский муниципальный район,2022,5.0
1646466,Табунский сельсовет,2016,3.0
1647000,Тальменский муниципальный район,2009,14.0
1647000,Тальменский муниципальный район,2010,15.0
1647000,Тальменский муниципальный район,2011,14.0
1647000,Тальменский муниципальный район,2012,13.0
1647000,Тальменский муниципальный район,2013,11.0
1647000,Тальменский муниципальный район,2014,13.0
1647000,Тальменский муниципальный район,2015,11.0
1647000,Тальменский муниципальный район,2016,10.0
1647000,Тальменский муниципальный район,2017,9.0
1647000,Тальменский муниципальный район,2018,11.0
1647000,Тальменский муниципальный район,2019,10.0
1647000,Тальменский муниципальный район,2020,9.0
1647000,Тальменский муниципальный район,2021,8.0
1647000,Тальменский муниципальный район,2022,7.0
1647151,Тальменский поссовет,2016,6.0
1648000,Тогульский муниципальный район,2009,6.0
1648000,Тогульский муниципальный район,2010,6.0
1648000,Тогульский муниципальный район,2011,6.0
1648000,Тогульский муниципальный район,2012,5.0
1648000,Тогульский муниципальный район,2013,5.0
1648000,Тогульский муниципальный район,2014,5.0
1648000,Тогульский муниципальный район,2015,3.0
1648000,Тогульский муниципальный район,2016,3.0
1648000,Тогульский муниципальный район,2017,3.0
1648000,Тогульский муниципальный район,2018,3.0
