oktmo,name,year,badcompanies
1652000,Тюменцевский муниципальный район,2016,2.0
1652000,Тюменцевский муниципальный район,2017,3.0
1652458,Тюменцевский сельсовет,2016,2.0
1653000,Угловский муниципальный район,2010,1.0
1653000,Угловский муниципальный район,2014,1.0
1653000,Угловский муниципальный район,2016,2.0
1653000,Угловский муниципальный район,2020,3.0
1653000,Угловский муниципальный район,2022,3.0
1654000,Усть-Калманский муниципальный район,2009,5.0
1654000,Усть-Калманский муниципальный район,2010,3.0
1654000,Усть-Калманский муниципальный район,2011,3.0
1654000,Усть-Калманский муниципальный район,2012,1.0
1654000,Усть-Калманский муниципальный район,2013,1.0
1654000,Усть-Калманский муниципальный район,2014,1.0
1654000,Усть-Калманский муниципальный район,2015,2.0
1654000,Усть-Калманский муниципальный район,2016,2.0
1654455,Усть-Калманский сельсовет,2016,2.0
1655000,Усть-Пристанский муниципальный район,2009,2.0
1655000,Усть-Пристанский муниципальный район,2011,4.0
1655000,Усть-Пристанский муниципальный район,2012,2.0
1655000,Усть-Пристанский муниципальный район,2013,2.0
1656000,Хабарский муниципальный район,2009,3.0
1656000,Хабарский муниципальный район,2011,2.0
1656000,Хабарский муниципальный район,2014,2.0
1656000,Хабарский муниципальный район,2015,1.0
1656000,Хабарский муниципальный район,2016,2.0
1656493,Хабарский сельсовет,2016,2.0
1657000,Целинный муниципальный район,2009,4.0
1657000,Целинный муниципальный район,2010,1.0
1657000,Целинный муниципальный район,2011,2.0
1657000,Целинный муниципальный район,2012,1.0
1657000,Целинный муниципальный район,2013,1.0
1657000,Целинный муниципальный район,2014,1.0
1658000,Чарышский муниципальный район,2009,3.0
1658000,Чарышский муниципальный район,2010,3.0
1658000,Чарышский муниципальный район,2011,2.0
1658000,Чарышский муниципальный район,2012,2.0
1658000,Чарышский муниципальный район,2013,1.0
1658000,Чарышский муниципальный район,2014,2.0
1658000,Чарышский муниципальный район,2015,1.0
1658000,Чарышский муниципальный район,2016,3.0
1658000,Чарышский муниципальный район,2018,3.0
1658488,Чарышский сельсовет,2016,3.0
1659000,Шипуновский муниципальный район,2009,4.0
1659000,Шипуновский муниципальный район,2010,2.0
1659000,Шипуновский муниципальный район,2011,2.0
1659000,Шипуновский муниципальный район,2012,2.0
1659000,Шипуновский муниципальный район,2013,3.0
1659000,Шипуновский муниципальный район,2014,4.0
1659000,Шипуновский муниципальный район,2015,5.0
1659000,Шипуновский муниципальный район,2016,3.0
1659000,Шипуновский муниципальный район,2018,5.0
1659000,Шипуновский муниципальный район,2019,3.0
1659000,Шипуновский муниципальный район,2020,6.0
1659000,Шипуновский муниципальный район,2021,4.0
1659495,Шипуновский сельсовет,2016,3.0
1660000,Немецкий национальный муниципальный район,2009,4.0
1660000,Немецкий национальный муниципальный район,2010,2.0
1660000,Немецкий национальный муниципальный район,2011,1.0
1660000,Немецкий национальный муниципальный район,2012,4.0
1660000,Немецкий национальный муниципальный район,2013,5.0
1660000,Немецкий национальный муниципальный район,2014,8.0
1660000,Немецкий национальный муниципальный район,2015,8.0
1660000,Немецкий национальный муниципальный район,2016,3.0
1660000,Немецкий национальный муниципальный район,2018,4.0
1660000,Немецкий национальный муниципальный район,2019,3.0
1660000,Немецкий национальный муниципальный район,2020,3.0
1660000,Немецкий национальный муниципальный район,2021,6.0
1660000,Немецкий национальный муниципальный район,2022,5.0
1701000,город Барнаул,2009,106.0
1701000,город Барнаул,2010,97.0
1701000,город Барнаул,2011,75.0
1701000,город Барнаул,2012,75.0
1701000,город Барнаул,2013,70.0
1701000,город Барнаул,2014,66.0
1701000,город Барнаул,2015,51.0
1701000,город Барнаул,2016,58.0
1701000,город Барнаул,2017,47.0
1701000,город Барнаул,2018,46.0
1701000,город Барнаул,2019,46.0
1701000,город Барнаул,2020,43.0
1701000,город Барнаул,2021,38.0
1701000,город Барнаул,2022,35.0
1703000,город Алейск,2009,5.0
1703000,город Алейск,2011,4.0
1703000,город Алейск,2012,5.0
1703000,город Алейск,2013,4.0
1703000,город Алейск,2014,6.0
1703000,город Алейск,2015,5.0
1703000,город Алейск,2016,6.0
1703000,город Алейск,2017,6.0
1703000,город Алейск,2018,7.0
1703000,город Алейск,2019,5.0
1703000,город Алейск,2020,5.0
1703000,город Алейск,2021,3.0
1703000,город Алейск,2022,4.0
1704000,город Белокуриха,2009,5.0
1704000,город Белокуриха,2010,2.0
1704000,город Белокуриха,2011,3.0
1704000,город Белокуриха,2012,2.0
1704000,город Белокуриха,2013,2.0
1704000,город Белокуриха,2014,2.0
1704000,город Белокуриха,2015,1.0
1704000,город Белокуриха,2016,1.0
1704000,город Белокуриха,2018,3.0
1704000,город Белокуриха,2020,7.0
1704000,город Белокуриха,2022,3.0
1705000,город Бийск,2009,15.0
1705000,город Бийск,2010,17.0
1705000,город Бийск,2011,16.0
1705000,город Бийск,2012,7.0
1705000,город Бийск,2013,14.0
1705000,город Бийск,2014,17.0
1705000,город Бийск,2015,17.0
1705000,город Бийск,2016,12.0
1705000,город Бийск,2017,7.0
1705000,город Бийск,2018,15.0
1705000,город Бийск,2019,13.0
1705000,город Бийск,2020,15.0
1705000,город Бийск,2021,11.0
1705000,город Бийск,2022,8.0
1706000,город Заринск,2009,3.0
1706000,город Заринск,2010,3.0
1706000,город Заринск,2011,2.0
1706000,город Заринск,2012,2.0
1706000,город Заринск,2013,5.0
1706000,город Заринск,2014,5.0
1706000,город Заринск,2015,3.0
1706000,город Заринск,2016,3.0
1706000,город Заринск,2018,3.0
1710000,город Камень-на-Оби,2009,6.0
1710000,город Камень-на-Оби,2010,9.0
1710000,город Камень-на-Оби,2011,6.0
1710000,город Камень-на-Оби,2012,5.0
1710000,город Камень-на-Оби,2013,3.0
1710000,город Камень-на-Оби,2014,3.0
1710000,город Камень-на-Оби,2015,3.0
1713000,город Новоалтайск,2009,9.0
1713000,город Новоалтайск,2010,4.0
1713000,город Новоалтайск,2011,5.0
1713000,город Новоалтайск,2012,3.0
1713000,город Новоалтайск,2013,5.0
1713000,город Новоалтайск,2014,5.0
1713000,город Новоалтайск,2015,6.0
1713000,город Новоалтайск,2016,6.0
1713000,город Новоалтайск,2017,7.0
1713000,город Новоалтайск,2022,3.0
1716000,город Рубцовск,2009,17.0
1716000,город Рубцовск,2010,12.0
1716000,город Рубцовск,2011,11.0
1716000,город Рубцовск,2012,13.0
1716000,город Рубцовск,2013,12.0
1716000,город Рубцовск,2014,13.0
1716000,город Рубцовск,2015,6.0
1716000,город Рубцовск,2016,10.0
1716000,город Рубцовск,2017,12.0
1716000,город Рубцовск,2018,10.0
1716000,город Рубцовск,2019,5.0
1716000,город Рубцовск,2020,8.0
1716000,город Рубцовск,2021,4.0
1716000,город Рубцовск,2022,3.0
1719000,город Славгород,2009,2.0
1719000,город Славгород,2010,3.0
1719000,город Славгород,2011,5.0
1719000,город Славгород,2012,7.0
1719000,город Славгород,2013,6.0
1719000,город Славгород,2014,4.0
1719000,город Славгород,2015,5.0
1719000,город Славгород,2016,6.0
1719000,город Славгород,2017,5.0
1719000,город Славгород,2018,5.0
1719000,город Славгород,2019,3.0
1719000,город Славгород,2020,3.0
1719000,город Славгород,2021,4.0
1719000,город Славгород,2022,3.0
1730000,город Яровое,2009,2.0
1730000,город Яровое,2010,2.0
1730000,город Яровое,2011,3.0
1730000,город Яровое,2012,2.0
1730000,город Яровое,2013,4.0
1730000,город Яровое,2014,3.0
1730000,город Яровое,2015,4.0
1730000,город Яровое,2019,3.0
1730000,город Яровое,2020,3.0
1730000,город Яровое,2022,3.0
3601000,Абинский муниципальный район,2009,8.0
3601000,Абинский муниципальный район,2010,6.0
3601000,Абинский муниципальный район,2011,9.0
3601000,Абинский муниципальный район,2012,8.0
3601000,Абинский муниципальный район,2013,7.0
3601000,Абинский муниципальный район,2014,6.0
3601000,Абинский муниципальный район,2015,7.0
3601000,Абинский муниципальный район,2016,7.0
3601000,Абинский муниципальный район,2017,6.0
3601000,Абинский муниципальный район,2018,6.0
3601000,Абинский муниципальный район,2019,5.0
3601000,Абинский муниципальный район,2020,7.0
3601000,Абинский муниципальный район,2021,4.0
3601000,Абинский муниципальный район,2022,9.0
3601101,Абинское,2016,5.0
3601153,Ахтырское,2016,1.0
3605000,Апшеронский муниципальный район,2009,4.0
3605000,Апшеронский муниципальный район,2010,7.0
3605000,Апшеронский муниципальный район,2011,4.0
3605000,Апшеронский муниципальный район,2012,3.0
3605000,Апшеронский муниципальный район,2013,8.0
3605000,Апшеронский муниципальный район,2014,7.0
3605000,Апшеронский муниципальный район,2015,8.0
3605000,Апшеронский муниципальный район,2016,4.0
3605000,Апшеронский муниципальный район,2017,8.0
3605000,Апшеронский муниципальный район,2018,6.0
3605000,Апшеронский муниципальный район,2019,5.0
3605000,Апшеронский муниципальный район,2020,6.0
3605000,Апшеронский муниципальный район,2021,4.0
3605000,Апшеронский муниципальный район,2022,3.0
3605101,Апшеронское,2016,3.0
3605109,Хадыженское,2016,1.0
