oktmo,name,year,theatres
07622101,город Ипатово,2017,0.0
07622402,Большевистский сельсовет,2016,0.0
07622402,Большевистский сельсовет,2017,0.0
07622404,село Большая Джалга,2016,0.0
07622404,село Большая Джалга,2017,0.0
07622407,село Бурукшун,2016,0.0
07622407,село Бурукшун,2017,0.0
07622410,Винодельненский сельсовет,2016,0.0
07622410,Винодельненский сельсовет,2017,0.0
07622413,Добровольно-Васильевский сельсовет,2016,0.0
07622413,Добровольно-Васильевский сельсовет,2017,0.0
07622416,Золотарёвский сельсовет,2016,0.0
07622416,Золотарёвский сельсовет,2017,0.0
07622422,Кевсалинский сельсовет,2016,0.0
07622422,Кевсалинский сельсовет,2017,0.0
07622425,Красочный сельсовет,2016,0.0
07622425,Красочный сельсовет,2017,0.0
07622427,Леснодачненский сельсовет,2016,0.0
07622427,Леснодачненский сельсовет,2017,0.0
07622428,Лиманский сельсовет,2016,0.0
07622428,Лиманский сельсовет,2017,0.0
07622429,Мало-Барханчакский сельсовет,2016,0.0
07622429,Мало-Барханчакский сельсовет,2017,0.0
07622431,Октябрьский сельсовет,2016,0.0
07622431,Октябрьский сельсовет,2017,0.0
07622434,Первомайский сельсовет,2016,0.0
07622434,Первомайский сельсовет,2017,0.0
07622437,Советскорунный сельсовет,2016,0.0
07622437,Советскорунный сельсовет,2017,0.0
07622440,Тахтинский сельсовет,2016,0.0
07622440,Тахтинский сельсовет,2017,0.0
07625101,город Новопавловск,2016,0.0
07625402,Горнозаводской сельсовет,2016,0.0
07625404,Зольский сельсовет,2016,0.0
07625407,Комсомольский сельсовет,2016,0.0
07625410,станица Марьинская,2016,0.0
07625416,Новосредненский сельсовет,2016,0.0
07625417,Орловский сельсовет,2016,0.0
07625419,Советский сельсовет,2016,0.0
07625422,Старопавловский сельсовет,2016,0.0
07625428,посёлок Фазанный,2016,0.0
07628402,Балахоновский сельсовет,2016,0.0
07628404,Барсуковский сельсовет,2016,0.0
07628406,станица Беломечетская,2016,0.0
07628407,Вревский сельсовет,2016,0.0
07628408,Георгиевский сельсовет,2016,0.0
07628408,Георгиевский сельсовет,2017,0.0
07628413,Заветненский сельсовет,2016,0.0
07628416,Ивановский сельсовет,2016,0.0
07628419,Казьминский сельсовет,2016,0.0
07628422,село Кочубеевское,2016,0.0
07628423,Мищенский сельсовет,2016,0.0
07628424,Надзорненский сельсовет,2016,0.0
07628425,Новодеревенский сельсовет,2016,0.0
07628430,Стародворцовский сельсовет,2016,0.0
07628435,Усть-Невинский сельсовет,2016,0.0
07628440,Васильевский сельсовет,2016,0.0
07630402,село Дмитриевское,2016,0.0
07630404,Коммунаровский сельсовет,2016,0.0
07630407,село Красногвардейское,2016,0.0
07630410,село Ладовская Балка,2016,0.0
07630413,Медвеженский сельсовет,2016,0.0
07630416,село Новомихайловское,2016,0.0
07630419,село Покровское,2016,0.0
07630422,село Преградное,2016,0.0
07630425,Привольненский сельсовет,2016,0.0
07630428,Родыковский сельсовет,2016,0.0
07630443,Штурмовский сельсовет,2016,0.0
07632402,Водораздельный сельсовет,2016,0.0
07632404,станица Воровсколесская,2016,0.0
07632406,Казинский сельсовет,2016,0.0
07632407,Красноярский сельсовет,2016,0.0
07632408,село Крымгиреевское,2016,0.0
07632410,Курсавский сельсовет,2016,0.0
07632410,Курсавский сельсовет,2017,0.0
07632412,Куршавский сельсовет,2016,0.0
07632414,Новоянкульский сельсовет,2016,0.0
07632416,Солуно-Дмитриевский сельсовет,2016,0.0
07632419,село Султан,2016,0.0
