oktmo,name,year,saldo
1627411,Бастанский сельсовет,2011,-21.0
1627416,Михайловский сельсовет,2011,42.0
1627420,Назаровский сельсовет,2011,5.0
1627422,Николаевский сельсовет,2011,-121.0
1627433,Полуямский сельсовет,2011,-32.0
1627444,Ракитовский сельсовет,2011,-3.0
1628000,Новичихинский муниципальный район,2011,-53.0
1628409,Десятилетский сельсовет,2011,-3.0
1628411,Долговский сельсовет,2011,-5.0
1628422,Лобанихинский сельсовет,2011,-13.0
1628433,Мельниковский сельсовет,2011,15.0
1628444,Новичихинский сельсовет,2011,-25.0
1628450,Павловский сельсовет,2011,-19.0
1628455,Поломошенский сельсовет,2011,7.0
1628466,Солоновский сельсовет,2011,-26.0
1628477,Токарёвский сельсовет,2011,16.0
1629000,Зональный муниципальный район,2011,270.0
1629412,Буланихинский сельсовет,2011,21.0
1629426,Зональный сельсовет,2011,-16.0
1629442,Луговской сельсовет,2011,11.0
1629466,Новочемровский сельсовет,2011,52.0
1629470,Октябрьский сельсовет,2011,-5.0
1629474,Плешковский сельсовет,2011,24.0
1629480,Соколовский сельсовет,2011,78.0
1629493,Чемровский сельсовет,2011,47.0
1629496,Шубенский сельсовет,2011,58.0
1630000,Павловский муниципальный район,2011,0.0
1630401,Арбузовский сельсовет,2011,-18.0
1630403,Бурановский сельсовет,2011,6.0
1630412,Елунинский сельсовет,2011,-27.0
1630432,Колыванский сельсовет,2011,-8.0
1630437,Комсомольский сельсовет,2011,15.0
1630449,Лебяжинский сельсовет,2011,16.0
1630455,Новозоринский сельсовет,2011,-23.0
1630460,Павловский сельсовет,2011,-96.0
1630462,Павлозаводской сельсовет,2011,2.0
1630464,Прутской сельсовет,2011,-2.0
1630466,Рогозихинский сельсовет,2011,-5.0
1630473,Стуковский сельсовет,2011,6.0
1630482,Черемновский сельсовет,2011,80.0
1630485,Чернопятовский сельсовет,2011,6.0
1630490,Шаховский сельсовет,2011,48.0
1631000,Панкрушихинский муниципальный район,2011,-219.0
1631411,Велижанский сельсовет,2011,-39.0
1631413,Высокогривский сельсовет,2011,-27.0
1631417,Железнодорожный сельсовет,2011,-95.0
1631422,Зятьковский сельсовет,2011,-18.0
1631430,Красноармейский сельсовет,2011,-33.0
1631433,Кривинский сельсовет,2011,-25.0
1631444,Луковский сельсовет,2011,-11.0
1631456,Панкрушихинский сельсовет,2011,83.0
1631467,Подойниковский сельсовет,2011,2.0
1631478,Романовский сельсовет,2011,-27.0
1631489,Урываевский сельсовет,2011,-29.0
1632000,Первомайский муниципальный район,2011,869.0
1632406,Акуловский сельсовет,2011,-30.0
1632412,Баюновоключевский сельсовет,2011,-37.0
1632416,Берёзовский сельсовет,2011,189.0
1632420,Бобровский сельсовет,2011,145.0
1632422,Боровихинский сельсовет,2011,400.0
1632425,Жилинский сельсовет,2011,-46.0
1632430,Журавлихинский сельсовет,2011,-49.0
1632434,Зудиловский сельсовет,2011,161.0
1632442,Логовской сельсовет,2011,-2.0
1632445,Новоберёзовский сельсовет,2011,-21.0
1632449,Первомайский сельсовет,2011,55.0
1632454,Повалихинский сельсовет,2011,98.0
1632461,Рассказихинский сельсовет,2011,34.0
1632472,Санниковский сельсовет,2011,129.0
1632483,Северный сельсовет,2011,-93.0
1632494,Сибирский сельсовет,2011,-87.0
1632496,Солнечный сельсовет,2011,56.0
1632497,Сорочелоговской сельсовет,2011,-33.0
1633000,Петропавловский муниципальный район,2011,-1.0
1633405,Алексеевский сельсовет,2011,-15.0
1633407,Антоньевский сельсовет,2011,-20.0
1633414,Зеленодольский сельсовет,2011,-14.0
1633423,Камышенский сельсовет,2011,5.0
1633434,Николаевский сельсовет,2011,-2.0
1633440,Новообинский сельсовет,2011,-19.0
1633446,Паутовский сельсовет,2011,65.0
1633457,Петропавловский сельсовет,2011,24.0
1633479,Соловьихинский сельсовет,2011,-17.0
1634000,Поспелихинский муниципальный район,2011,-168.0
1634408,Борковский сельсовет,2011,-2.0
1634422,12 лет Октября сельсовет,2011,-15.0
1634433,Калмыцко-Мысовской сельсовет,2011,-10.0
1634439,Клепечихинский сельсовет,2011,-54.0
1634445,Красноалтайский сельсовет,2011,7.0
1634450,Красноярский сельсовет,2011,-21.0
1634467,Мамонтовский сельсовет,2011,-20.0
1634478,Николаевский сельсовет,2011,-19.0
1634482,Озимовский сельсовет,2011,-12.0
1634489,Поспелихинский сельсовет,2011,-1.0
1634495,Поспелихинский Центральный сельсовет,2011,-21.0
1635000,Ребрихинский муниципальный район,2011,-179.0
1635407,Беловский сельсовет,2011,-21.0
1635412,Боровлянский сельсовет,2011,11.0
1635419,Воронихинский сельсовет,2011,-15.0
1635424,Георгиевский сельсовет.,2011,-3.0
1635430,Зеленорощинский сельсовет,2011,-22.0
1635436,Зиминский сельсовет,2011,-14.0
1635442,Клочковский сельсовет,2011,0.0
1635448,Куликовский сельсовет,2011,-25.0
1635456,Пановский сельсовет,2011,-27.0
1635458,Плоскосеминский сельсовет,2011,-16.0
1635459,Подстепновский сельсовет,2011,-18.0
1635464,Ребрихинский сельсовет,2011,-17.0
1635470,Рожне-Логовской сельсовет,2011,-16.0
1635476,Станционно-Ребрихинский сельсовет,2011,44.0
1635479,Усть-Мосихинский сельсовет,2011,-30.0
1635484,Шумилихинский сельсовет,2011,-11.0
1635495,Яснополянский сельсовет,2011,1.0
1636000,Родинский муниципальный район,2011,-391.0
1636410,Зелёнолуговской сельсовет,2011,-19.0
1636422,Каяушинский сельсовет,2011,-32.0
1636428,Кочкинский сельсовет,2011,-8.0
1636434,Мирненский сельсовет,2011,-14.0
1636445,Покровский сельсовет,2011,-45.0
1636451,Раздольненский сельсовет,2011,-21.0
1636456,Родинский сельсовет,2011,-126.0
1636468,Степновский сельсовет,2011,-46.0
1636472,Степно-Кучукский сельсовет,2011,-7.0
1636474,Шаталовский сельсовет,2011,-11.0
1636480,Центральный сельсовет,2011,-27.0
1636491,Ярослав-Логовской сельсовет,2011,-35.0
1637000,Романовский муниципальный район,2011,-144.0
1637407,Гилёв-Логовской сельсовет,2011,-29.0
1637412,Грано-Маяковский сельсовет,2011,-8.0
1637417,Гуселетовский сельсовет,2011,-13.0
1637422,Дубровинский сельсовет,2011,-21.0
1637435,Закладинский сельсовет,2011,-19.0
1637440,Казанцевский сельсовет,2011,-10.0
1637446,Майский сельсовет,2011,-1.0
1637457,Мормышанский сельсовет,2011,-13.0
1637466,Рассветовский сельсовет,2011,-6.0
1637468,Романовский сельсовет,2011,-25.0
1637479,Сидоровский сельсовет,2011,-6.0
1637482,Тамбовский сельсовет,2011,7.0
1638000,Рубцовский муниципальный район,2011,11.0
1638406,Безрукавский сельсовет,2011,32.0
1638412,Бобковский сельсовет,2011,5.0
1638415,Большешелковниковский сельсовет,2011,0.0
1638418,Веселоярский сельсовет,2011,68.0
1638420,Вишнёвский сельсовет,2011,3.0
1638422,Дальний сельсовет,2011,-15.0
1638425,Куйбышевский сельсовет,2011,6.0
1638437,Новоалександровский сельсовет,2011,-30.0
1638440,Новониколаевский сельсовет,2011,-14.0
1638444,Новороссийский сельсовет,2011,-7.0
1638447,Новосклюихинский сельсовет,2011,-16.0
1638451,Половинкинский сельсовет,2011,-21.0
1638460,Ракитовский сельсовет,2011,26.0
1638462,Рубцовский сельсовет,2011,15.0
1638465,Самарский сельсовет,2011,-27.0
1638467,Саратовский сельсовет,2011,-5.0
1638471,Тишинский сельсовет,2011,-9.0
1639000,Славгородский муниципальный район,2011,-7.0
1639412,Знаменский сельсовет,2011,-62.0
1639420,Максимовский сельсовет,2011,-17.0
1639437,Нововознесенский сельсовет,2011,-24.0
1639445,Покровский сельсовет .,2011,12.0
1639447,Пригородный сельсовет,2011,4.0
1639456,Селекционный сельсовет,2011,45.0
1639459,Семеновский сельсовет.,2011,-13.0
1639462,Славгородский сельсовет,2011,48.0
1640000,Смоленский муниципальный район,2011,-22.0
1640405,Ануйский сельсовет,2011,-4.0
1640412,Верх-Обский сельсовет,2011,14.0
1640423,Кировский сельсовет,2011,-34.0
1640434,Линёвский сельсовет,2011,-30.0
1640445,Новотырышкинский сельсовет,2011,48.0
1640450,Первомайский сельсовет.,2011,-26.0
1640456,Смоленский сельсовет,2011,-13.0
1640460,Солоновский сельсовет,2011,-10.0
1640466,Сычёвский сельсовет,2011,21.0
1640479,Точилинский сельсовет,2011,12.0
1641000,Суетский муниципальный район,2011,-150.0
1641404,Александровский сельсовет,2011,-24.0
1641408,Береговой сельсовет,2011,7.0
1641410,Боронский сельсовет,2011,-30.0
